String;Operation type;Occurrences
ab;INS;216
íamos;INS;139
quen;INS;16
á;INS;633
amos;INS;248
stis;INS;133
e;INS;1021
é;INS;356
ais;INS;261
o;INS;315
es;INS;576
ía;INS;257
ás;INS;124
íemos;INS;150
éis;INS;241
as;INS;267
ndo;INS;128
án;INS;131
ó;INS;128
áis;INS;115
estis;INS;95
en;INS;442
q;INS;41
u;INS;184
a;INS;605
s;INS;360
ábemos;INS;105
áb;INS;121
mos;INS;273
quemos;INS;13
emos;INS;568
íen;INS;134
ad;INS;96
beis;INS;103
n;INS;159
sti;INS;118
iest;INS;15
i;INS;344
c;INS;69
t;INS;57
on;INS;122
bes;INS;108
áu;INS;116
í;INS;85
ques;INS;18
íais;INS;128
eis;INS;232
ben;INS;136
íes;INS;147
cemos;INS;12
os;INS;125
bais;INS;117
íeis;INS;148
v;INS;36
y;INS;31
m;INS;44
x;INS;41
esti;INS;78
g;INS;16
an;INS;232
ái;INS;105
íos;INS;15
b;INS;7
ues;INS;15
r;INS;12
da;INS;18
que;INS;11
ue;INS;30
f;INS;28
d;INS;39
uen;INS;13
z;INS;14
questis;INS;11
uemos;INS;15
ces;INS;14
ío;INS;12
ne;INS;14
ix;INS;17
l;INS;4
p;INS;3
ce;INS;12
 ;INS;6
ú;INS;2
h;INS;3
r;DEL;2362
car;DEL;104
a;DEL;520
ar;DEL;1684
ir;DEL;104
er;DEL;149
ra;DEL;260
zar;DEL;78
u;DEL;42
d;DEL;13
y;DEL;19
s;DEL;11
e;DEL;70
o;DEL;56
ri;DEL;13
di;DEL;18
cer;DEL;22
ó;DEL;3
n;DEL;13
é;DEL;15
c;DEL;24
rc;DEL;5
m;DEL;2
ñ;DEL;4
á;DEL;3
ne;DEL;4
l;DEL;4
z;DEL;3
der;DEL;6
g;DEL;4
ner;DEL;4
i;DEL;3
t;DEL;3
yer;DEL;7
ñar;DEL;1
