String;Operation type;Occurrences
e;INS;694
n;INS;498
en;INS;701
er;INS;506
t;INS;185
s;INS;1817
';INS;103
sen;INS;11
erne;INS;558
et;INS;244
ern;INS;327
ne;INS;167
ers;INS;561
rs;INS;361
ene;INS;339
r;INS;585
ser;INS;32
es;INS;280
m;INS;39
ner;INS;30
lers;INS;11
kerne;INS;11
ed;INS;77
re;INS;34
des;INS;88
ren;INS;19
æ;INS;102
ten;INS;23
end;INS;84
d;INS;41
f;INS;31
p;INS;44
l;INS;42
ken;INS;16
len;INS;14
ter;INS;21
ler;INS;14
ker;INS;15
ø;INS;34
lern;INS;24
te;INS;28
k;INS;31
b;INS;19
g;INS;26
v;INS;2
a;INS;21
se;INS;11
lerne;INS;18
terne;INS;23
met;INS;14
dene;INS;13
ters;INS;22
o;INS;6
z;INS;3
serne;INS;13
mers;INS;13
mene;INS;12
sser;INS;14
mer;INS;12
u;INS;2
’;INS;1
h;INS;3
ød;INS;11
i;INS;7
um;DEL;45
e;DEL;211
de;DEL;13
t;DEL;5
r;DEL;20
a;DEL;102
l;DEL;26
tag;DEL;2
o;DEL;33
fe;DEL;11
m;DEL;3
n;DEL;2
k;DEL;3
å;DEL;3
p;DEL;1
b;DEL;1
