String;Operation type;Occurrences
ö;INS;126
k;INS;939
r;INS;157
ő;INS;75
l;INS;396
ekbe;INS;65
en;INS;66
knek;INS;16
áknál;INS;26
ekig;INS;71
ig;INS;199
n;INS;745
e;INS;592
ekhez;INS;63
ként;INS;196
et;INS;35
kba;INS;16
nénk;INS;18
eknél;INS;60
okból;INS;80
ta;INS;15
tá;INS;12
nál;INS;122
ához;INS;35
ba;INS;124
nél;INS;81
j;INS;103
akra;INS;27
től;INS;56
ától;INS;28
é;INS;396
ekben;INS;58
ból;INS;116
hoz;INS;138
tól;INS;125
t;INS;695
kká;INS;23
áktól;INS;25
nék;INS;30
án;INS;78
ták;INS;16
okon;INS;68
ákhoz;INS;28
va;INS;17
nak;INS;120
ekből;INS;61
okkal;INS;71
tam;INS;25
d;INS;100
akért;INS;28
be;INS;85
re;INS;83
okig;INS;75
éről;INS;11
ok;INS;91
al;INS;11
kbe;INS;11
okba;INS;65
ektől;INS;44
okról;INS;71
okká;INS;54
tátok;INS;13
ért;INS;204
akból;INS;36
s;INS;146
i;INS;118
g;INS;85
u;INS;75
a;INS;383
ekké;INS;64
okban;INS;71
to;INS;11
m;INS;91
ban;INS;120
okra;INS;77
o;INS;227
októl;INS;56
aknál;INS;22
vá;INS;28
ák;INS;44
któl;INS;20
ér;INS;12
tok;INS;12
on;INS;102
kig;INS;27
áról;INS;39
ekért;INS;49
ává;INS;39
áln;INS;12
okként;INS;62
p;INS;16
eket;INS;69
ra;INS;111
khoz;INS;18
kon;INS;12
sz;INS;19
ekről;INS;63
oknak;INS;57
andó;INS;15
sal;INS;33
ákból;INS;27
tuk;INS;18
ben;INS;79
ó;INS;68
kről;INS;12
ákról;INS;20
nek;INS;87
nod;INS;12
tunk;INS;13
kból;INS;20
ből;INS;91
ják;INS;25
tek;INS;16
akká;INS;35
ek;INS;69
juk;INS;31
okat;INS;72
okért;INS;56
ekre;INS;68
én;INS;24
ákon;INS;25
ü;INS;46
eken;INS;58
ról;INS;124
hez;INS;69
ni;INS;21
ről;INS;80
tér;INS;17
ja;INS;24
át;INS;32
eknek;INS;60
oknál;INS;88
kért;INS;41
gi;INS;11
nunk;INS;11
ne;INS;16
á;INS;176
akként;INS;22
ákb;INS;48
akat;INS;24
akkal;INS;26
áért;INS;27
b;INS;79
tot;INS;14
om;INS;20
áb;INS;79
v;INS;47
knál;INS;20
z;INS;119
akhoz;INS;32
áig;INS;31
ak;INS;22
król;INS;25
ekként;INS;54
sé;INS;18
ekkel;INS;70
vé;INS;21
akba;INS;25
tak;INS;15
tkén;INS;19
nánk;INS;32
sá;INS;31
ánál;INS;34
ákért;INS;22
áv;INS;38
aktól;INS;17
tatok;INS;20
el;INS;16
höz;INS;15
kként;INS;26
-;INS;47
h;INS;41
ából;INS;32
nátok;INS;24
ákként;INS;26
knél;INS;13
plural;INS;12
kban;INS;23
at;INS;23
ot;INS;22
kra;INS;12
nom;INS;13
nák;INS;19
ákig;INS;17
kat;INS;21
okhoz;INS;67
ákr;INS;33
nám;INS;13
vel;INS;24
éb;INS;20
kkal;INS;25
akban;INS;17
val;INS;33
ákká;INS;26
ákk;INS;27
ünk;INS;11
akról;INS;20
te;INS;13
ákn;INS;32
ná;INS;26
ár;INS;33
kből;INS;13
énél;INS;15
niuk;INS;20
akon;INS;27
nád;INS;15
tem;INS;16
sel;INS;15
unk;INS;20
akig;INS;24
tad;INS;15
nétek;INS;22
aknak;INS;16
ékb;INS;15
játok;INS;19
lná;INS;11
tük;INS;11
knak;INS;16
má;INS;14
ket;INS;12
kön;INS;14
na;INS;13
y;INS;10
ká;INS;14
jük;INS;15
od;INS;12
c;INS;5
f;INS;2
a;DEL;647
l;DEL;14
e;DEL;163
k;DEL;23
p;DEL;3
r;DEL;11
ű;DEL;4
á;DEL;29
sz;DEL;21
b;DEL;11
i;DEL;38
z;DEL;13
o;DEL;59
n;DEL;12
y;DEL;8
t;DEL;51
s;DEL;19
g;DEL;12
é;DEL;35
m;DEL;13
d;DEL;9
ú;DEL;5
ik;DEL;22
énk;DEL;2
ő;DEL;12
.;DEL;1
ö;DEL;8
v;DEL;9
ó;DEL;7
u;DEL;3
c;DEL;10
ü;DEL;2
ény;DEL;1
ék;DEL;1
j;DEL;4
í;DEL;3
f;DEL;1
h;DEL;1
