String;Operation type;Occurrences
ðir;INS;77.0
in;INS;283.0
n;INS;665.0
m;INS;261.0
ö;INS;464.0
um;INS;445.0
anna;INS;328.0
urn;INS;133.0
r;INS;643.0
ur;INS;155.0
ið;INS;448.0
i;INS;776.0
arni;INS;45.0
un;INS;84.0
s;INS;320.0
unn;INS;88.0
ar;INS;200.0
ði;INS;217.0
ð;INS;183.0
ina;INS;86.0
arnar;INS;27.0
ir;INS;206.0
a;INS;1078.0
janna;INS;14.0
uðum;INS;30.0
ana;INS;117.0
u;INS;635.0
y;INS;12.0
t;INS;69.0
duð;INS;14.0
nn;INS;87.0
sins;INS;251.0
inn;INS;252.0
ann;INS;144.0
enn;INS;16.0
l;INS;27.0
d;INS;63.0
unum;INS;324.0
anum;INS;56.0
nnar;INS;20.0
na;INS;21.0
e;INS;104.0
j;INS;43.0
uðu;INS;77.0
ti;INS;37.0
nninn;INS;12.0
arinnar;INS;72.0
irnar;INS;73.0
inu;INS;116.0
ndi;INS;99.0
ins;INS;18.0
urum;INS;15.0
uðuð;INS;74.0
p;INS;16.0
nu;INS;49.0
g;INS;20.0
unni;INS;88.0
v;INS;18.0
k;INS;33.0
num;INS;94.0
æ;INS;43.0
du;INS;13.0
inni;INS;66.0
ni;INS;37.0
arn;INS;65.0
ja;INS;27.0
nni;INS;17.0
uð;INS;11.0
f;INS;29.0
irni;INS;21.0
jum;INS;14.0
tir;INS;17.0
tu;INS;24.0
dir;INS;12.0
ans;INS;68.0
arnir;INS;23.0
una;INS;12.0
á;INS;6.0
junum;INS;14.0
ddu;INS;16.0
inum;INS;26.0
mönnu;INS;15.0
tuð;INS;21.0
di;INS;27.0
;INS;
o;INS;4.0
nin;INS;11.0
ra;INS;12.0
b;INS;3.0
c;INS;2.0
í;INS;2.0
ðuð;INS;13.0
ó;INS;4.0
ý;INS;5.0
ú;INS;3.0
r;DEL;295.0
a;DEL;2217.0
ur;DEL;573.0
il;DEL;86.0
u;DEL;291.0
i;DEL;1003.0
ari;DEL;26.0
l;DEL;151.0
jó;DEL;8.0
ta;DEL;18.0
ir;DEL;28.0
aður;DEL;43.0
e;DEL;26.0
j;DEL;51.0
í;DEL;29.0
ð;DEL;19.0
ður;DEL;75.0
y;DEL;14.0
p;DEL;17.0
g;DEL;23.0
aka;DEL;24.0
ja;DEL;219.0
n;DEL;52.0
al;DEL;19.0
að;DEL;8.0
k;DEL;19.0
s;DEL;18.0
t;DEL;22.0
á;DEL;6.0
fa;DEL;8.0
ul;DEL;23.0
ö;DEL;152.0
ó;DEL;32.0
d;DEL;13.0
ða;DEL;31.0
v;DEL;3.0
E;DEL;3.0
ú;DEL;16.0
f;DEL;16.0
ý;DEL;7.0
m;DEL;8.0
æ;DEL;2.0
o;DEL;7.0
é;DEL;2.0
b;DEL;2.0
 ;DEL;2.0
