String;Operation type;Occurrences
i;INS;1205
e;INS;1208
mo;INS;567
mi ;INS;327
vo;INS;209
nt;INS;138
t;INS;646
et;INS;135
si ;INS;681
 ;INS;96
r;INS;98
c;INS;145
h;INS;118
a;INS;196
n;INS;134
o;INS;539
ssi;INS;261
rò;INS;114
sti;INS;280
l;INS;20
rà;INS;138
ssimo;INS;174
iv;INS;13
ti ;INS;273
v;INS;71
vat;INS;129
ndo;INS;182
est;INS;154
sca;INS;49
vi;INS;143
ò;INS;219
he;INS;125
mmo;INS;339
ino;INS;178
cano;INS;16
no;INS;265
vamo;INS;182
sse;INS;151
rai;INS;116
ss;INS;155
st;INS;307
ci ;INS;271
eremo;INS;22
bbero;INS;157
er;INS;41
à;INS;54
eremmo;INS;28
vi ;INS;289
erete;INS;22
iss;INS;34
ebb;INS;127
ate;INS;27
ì;INS;22
vano;INS;183
va;INS;52
scano;INS;32
g;INS;32
s;INS;242
ist;INS;18
te;INS;141
av;INS;157
to;INS;192
vate;INS;42
sc;INS;12
u;INS;12
ebbero;INS;13
ono;INS;186
si;INS;11
amo;INS;100
se;INS;47
ereste;INS;30
erebbero;INS;30
hi;INS;122
b;INS;45
erà;INS;21
at;INS;17
anno;INS;34
ranno;INS;106
ano;INS;42
iamo;INS;52
nno;INS;30
tev;INS;42
d;INS;12
nte;INS;32
emmo;INS;11
moc;INS;26
m;INS;57
ess;INS;27
iat;INS;14
ere;INS;32
hino;INS;24
ai;INS;32
f;INS;4
ca;INS;17
isc;INS;22
her;INS;21
erebbe;INS;34
erò;INS;27
era;INS;11
ent;INS;19
p;INS;1
scono;INS;13
q;INS;1
';INS;1
are;DEL;1123
a;DEL;940
rsi;DEL;428
r;DEL;1732
re;DEL;2648
ars;DEL;279
e;DEL;594
c;DEL;11
ersi;DEL;39
ia;DEL;66
iar;DEL;22
ere;DEL;224
l;DEL;28
i;DEL;227
s;DEL;60
ar;DEL;409
rr;DEL;39
rs;DEL;241
er;DEL;207
arsi;DEL;264
ir;DEL;29
si;DEL;160
ire;DEL;26
rre;DEL;33
n;DEL;45
d;DEL;26
t;DEL;23
irs;DEL;48
ra;DEL;35
ers;DEL;12
g;DEL;32
irsi;DEL;12
u;DEL;17
iars;DEL;70
m;DEL;7
p;DEL;2
ri;DEL;11
sar;DEL;12
o;DEL;4
iarsi;DEL;16
v;DEL;8
f;DEL;4
rse;DEL;1
q;DEL;1
b;DEL;1
