String;Operation type;Occurrences
di;INS;137
i;INS;130
ine;INS;681
no;INS;731
inan;INS;588
an;INS;645
ek;INS;710
ê;INS;773
ên;INS;640
in;INS;628
eke;INS;474
ne;INS;467
î;INS;521
a;INS;909
y;INS;54
na;INS;140
im;INS;48
nina;INS;100
b;INS;74
û;INS;44
ibû;INS;16
ni;INS;87
o;INS;368
bi;INS;214
s;INS;2
nedi;INS;72
m;INS;126
anin;INS;37
ein;INS;57
bûya;INS;21
îy;INS;24
nê;INS;135
ekî;INS;173
ama;INS;14
bûm;INS;31
e;INS;104
v;INS;4
ma;INS;14
ya;INS;30
ye;INS;19
ba;INS;35
me;INS;27
eek;INS;52
iye;INS;11
bû;INS;51
yî;INS;32
ayî;INS;22
bûyî;INS;16
ke;INS;48
n;INS;14
îek;INS;17
z;INS;3
bûma;INS;12
bayî;INS;17
on;INS;13
x;INS;2
w;INS;2
j;INS;1
d;INS;1
û;DEL;7
n;DEL;617
în;DEL;52
tin;DEL;22
î;DEL;38
in;DEL;28
f;DEL;3
t;DEL;31
i;DEL;58
(;DEL;17
e;DEL;22
(e);DEL;1
andi;DEL;45
s;DEL;12
tî, zaro;DEL;4
 ;DEL;17
z;DEL;5
a;DEL;41
r;DEL;24
o;DEL;2
irin;DEL;13
iy;DEL;8
an;DEL;34
y;DEL;7
3;DEL;3
(3);DEL;3
c;DEL;1
ê;DEL;7
v;DEL;5
þ;DEL;3
(ciyê veniþtina teyran);DEL;1
j;DEL;2
m;DEL;10
d;DEL;12
is;DEL;10
k;DEL;7
b;DEL;7
q;DEL;4
(kevirê bi qîmet);DEL;3
x;DEL;2
w;DEL;3
ir;DEL;3
(qevdika) dest;DEL;1
ti;DEL;3
(reþreþikê);DEL;1
h;DEL;1
(ji hesin);DEL;1
(ez dimabûm);DEL;1
,;DEL;2
l;DEL;2
(bila) ez mabiwama};DEL;1
};DEL;1
ç;DEL;1
p;DEL;1
(bimîne);DEL;1
