String;Operation type;Occurrences
ov;INS;274
a;INS;1508
eis;INS;207
ia;INS;332
e;INS;173
s;INS;803
é;INS;399
assan;INS;100
ass;INS;211
ova;INS;304
r;INS;77
à;INS;339
ovan;INS;136
on;INS;479
is;INS;286
esc;INS;56
assa;INS;218
ì;INS;41
è;INS;3
sses;INS;61
ei;INS;311
ù;INS;22
i;INS;100
o;INS;70
f;INS;11
v;INS;51
ies;INS;220
ssais;INS;51
esce;INS;73
as;INS;161
ue;INS;14
no;INS;22
ë;INS;42
t;INS;27
an;INS;163
u;INS;16
ovais;INS;134
vo;INS;23
ssa;INS;132
ess;INS;54
de;INS;35
b;INS;7
ve;INS;21
n;INS;61
van;INS;21
assais;INS;106
es;INS;45
ed;INS;127
j;INS;30
vais;INS;20
arà;INS;20
esces;INS;38
ssan;INS;59
va;INS;44
ie;INS;23
sse;INS;20
c;INS;1
ò;INS;2
d;INS;18
ves;INS;21
p;INS;1
r;DEL;3301
e;DEL;950
ri;DEL;70
re;DEL;156
er;DEL;1901
ir;DEL;323
ov;DEL;23
i;DEL;130
ei;DEL;102
é;DEL;68
d;DEL;8
vei;DEL;29
ì;DEL;70
ster;DEL;8
o;DEL;19
m;DEL;2
p;DEL;2
ol;DEL;3
ter;DEL;19
a;DEL;30
v;DEL;34
jer;DEL;13
j;DEL;9
s;DEL;5
l;DEL;3
dei;DEL;2
t;DEL;5
rj;DEL;5
g;DEL;1
n;DEL;1
