String;Operation type;Occurrences
bu;INS;58
ō;INS;1952
ā;INS;2402
t;INS;1222
ī;INS;2162
v;INS;363
e;INS;1232
a;INS;771
ābimus;INS;22
ē;INS;1790
f;INS;10
c;INS;176
r;INS;1572
u;INS;572
n;INS;683
ū;INS;698
l;INS;155
g;INS;98
i;INS;842
b;INS;301
s;INS;1158
ābunt;INS;15
ābat;INS;21
ar;INS;34
unt;INS;29
erēris;INS;14
d;INS;192
ma;INS;11
āri;INS;19
ēbāmur;INS;12
untur;INS;17
m;INS;1248
ēs;INS;89
ābit;INS;16
ent;INS;32
ētur;INS;39
ābam;INS;18
ārem;INS;13
um;INS;77
āverītis;INS;14
ābantur;INS;18
ās;INS;70
ātur;INS;33
em;INS;62
āvissem;INS;19
ōnēs;INS;93
ae;INS;194
itis;INS;12
imus;INS;11
ēr;INS;12
ēbar;INS;22
āvissent;INS;14
ēris;INS;28
ōr;INS;183
ōrum;INS;22
āvistī;INS;16
x;INS;95
ār;INS;70
p;INS;62
ūrā;INS;12
ōnis;INS;28
ārēminī;INS;18
ēbāris;INS;19
ēmus;INS;43
īs;INS;132
āvistis;INS;17
er;INS;24
ārum;INS;35
ābitur;INS;17
o;INS;5
āverat;INS;18
āverīs;INS;15
ibus;INS;37
ēminī;INS;47
imur;INS;11
āvissēmus;INS;16
ātī;INS;61
āre;INS;55
ārēmur;INS;19
ātō;INS;126
ānī;INS;15
āvimus;INS;23
nī;INS;39
ābitis;INS;28
āverimus;INS;23
āmur;INS;38
āmus;INS;31
ātā;INS;13
āminī;INS;50
ōnem;INS;30
ātis;INS;35
āret;INS;17
ēbātis;INS;21
ābiminī;INS;22
īvī;INS;11
īnō;INS;12
āvisset;INS;15
ārēris;INS;33
am;INS;85
āris;INS;45
āverim;INS;25
at;INS;32
ōnum;INS;31
ant;INS;57
ābant;INS;19
ārētis;INS;30
ābō;INS;24
mi;INS;7
āvissēs;INS;26
ēbāminī;INS;13
āt;INS;73
ātibu;INS;15
us;INS;32
it;INS;24
īnī;INS;14
āveritis;INS;13
āverint;INS;39
ābāris;INS;22
īcēs;INS;12
nt;INS;33
ōnibus;INS;62
ārētur;INS;19
ārēmus;INS;22
antō;INS;25
itur;INS;13
ābāmur;INS;12
ābāminī;INS;28
ēbant;INS;15
āveram;INS;26
erēmur;INS;12
ētis;INS;42
ere;INS;29
et;INS;31
āvī;INS;18
āverit;INS;37
ēbās;INS;18
āverō;INS;18
ābātis;INS;18
āte;INS;24
ābar;INS;17
āns;INS;28
mus;INS;20
ābimur;INS;19
ōrā;INS;16
entur;INS;24
ea;INS;12
ēbam;INS;24
ārentur;INS;21
j;INS;9
ēbāmus;INS;19
āberis;INS;22
erēmus;INS;15
ēns;INS;16
ābuntur;INS;12
ōsī;INS;12
ābis;INS;19
āverāmus;INS;22
untō;INS;17
ōne;INS;29
iminī;INS;11
āb;INS;16
āverās;INS;19
ātē;INS;27
āverīmus;INS;16
ōnī;INS;32
z;INS;26
āverant;INS;12
ȳ;INS;26
is;INS;47
īver;INS;14
ārent;INS;19
āveris;INS;11
ābās;INS;22
ēbātur;INS;26
antur;INS;26
āverātis;INS;21
ēmur;INS;27
āvissētis;INS;12
erent;INS;17
ān;INS;16
ābāmus;INS;15
erentur;INS;12
ārer;INS;12
ānō;INS;12
īm;INS;12
ābātur;INS;20
īv;INS;13
eris;INS;12
q;INS;1
ă;INS;1
āvērunt;INS;13
āvit;INS;13
P;INS;1
mu;INS;3
ur;INS;1
1;INS;2
h;INS;3
S;INS;1
æ;INS;1
o;DEL;4999
t;DEL;239
i;DEL;1070
v;DEL;85
u;DEL;1168
s;DEL;1019
um;DEL;178
us;DEL;1289
e;DEL;1196
f;DEL;10
a;DEL;1589
c;DEL;114
l;DEL;125
g;DEL;68
eo;DEL;93
d;DEL;92
r;DEL;182
si;DEL;53
rius;DEL;15
oro;DEL;42
is;DEL;65
udo;DEL;54
io;DEL;80
n;DEL;221
go;DEL;75
ro;DEL;21
uos;DEL;18
osu;DEL;90
m;DEL;135
p;DEL;36
ura;DEL;17
do;DEL;37
orus;DEL;12
inus;DEL;32
anus;DEL;31
bo;DEL;18
x;DEL;34
itus;DEL;16
atu;DEL;32
ivus;DEL;23
etum;DEL;16
or;DEL;36
atus;DEL;92
ix;DEL;27
cio;DEL;20
as;DEL;33
ono;DEL;31
uto;DEL;11
ho;DEL;12
ato;DEL;65
eno;DEL;13
to;DEL;15
su;DEL;34
ibo;DEL;18
ora;DEL;15
acio;DEL;27
b;DEL;25
j;DEL;10
ido;DEL;20
ena;DEL;12
uro;DEL;22
tus;DEL;61
zo;DEL;13
no;DEL;15
oco;DEL;11
y;DEL;27
alis;DEL;18
mo;DEL;11
co;DEL;20
igo;DEL;14
lis;DEL;14
z;DEL;13
ano;DEL;16
nus;DEL;17
on;DEL;15
q;DEL;4
h;DEL;2
