String;Operation type;Occurrences
u;INS;1224
š;INS;58
ā;INS;1179
jā;INS;433
a;INS;504
aj;INS;151
d;INS;85
z;INS;22
ām;INS;279
iem;INS;265
jām;INS;304
o;INS;1366
šana;INS;43
e;INS;172
i;INS;523
s;INS;652
jam;INS;169
dams;INS;40
esot jā;INS;32
m;INS;130
ēm;INS;98
ai;INS;66
si;INS;79
jo;INS;192
j;INS;341
em;INS;319
lai ;INS;138
ās;INS;40
ja;INS;69
am;INS;173
ļ;INS;52
ī;INS;82
ma;INS;26
šo;INS;53
jis;INS;57
esot ;INS;38
ē;INS;61
ēs;INS;48
t;INS;21
oj;INS;21
č;INS;14
ņiem;INS;14
būt jā;INS;43
ju;INS;29
g;INS;4
sim;INS;85
ņ;INS;38
ž;INS;31
jošs;INS;14
c;INS;41
ne;INS;28
jie;INS;12
ji;INS;15
ošs;INS;17
ņu;INS;18
r;INS;6
v;INS;17
šiem;INS;15
būtu ;INS;29
šu;INS;61
n;INS;11
dī;INS;12
ļu;INS;16
l;INS;6
h;INS;2
ms;INS;9
is;INS;12
oš;INS;11
mie;INS;13
ie;INS;22
ū;INS;7
 ;INS;5
k;INS;10
b;INS;1
a;DEL;619
s;DEL;2915
is;DEL;743
i;DEL;357
īt;DEL;45
g;DEL;9
ai;DEL;573
ais;DEL;1129
t;DEL;936
st;DEL;29
āt;DEL;28
e;DEL;375
ā;DEL;45
ī;DEL;39
tie;DEL;28
l;DEL;39
ē;DEL;35
li;DEL;14
tī;DEL;18
ēt;DEL;34
ne;DEL;24
gt;DEL;12
sis;DEL;11
š;DEL;49
c;DEL;23
n;DEL;30
kt;DEL;29
ni;DEL;12
r;DEL;6
ū;DEL;8
d;DEL;7
z;DEL;15
nis;DEL;26
k;DEL;13
lis;DEL;16
o;DEL;7
p;DEL;4
ļ;DEL;2
si;DEL;13
u;DEL;12
ti;DEL;11
b;DEL;1
ņ;DEL;1
m;DEL;2
