String;Operation type;Occurrences
an;INS;20.0
e;INS;1500.0
́;INS;201.0
i;INS;1283.0
u;INS;809.0
ia;INS;319.0
ù;INS;394.0
s;INS;941.0
è;INS;234.0
umėme;INS;67.0
je;INS;53.0
umėte;INS;57.0
te;INS;161.0
a;INS;502.0
ų;INS;455.0
á;INS;238.0
o;INS;616.0
às;INS;15.0
ėm;INS;19.0
ą;INS;288.0
usiu;INS;14.0
í;INS;39.0
ame;INS;40.0
ñ;INS;83.0
ĩ;INS;145.0
davo;INS;169.0
ei;INS;31.0
ó;INS;161.0
os;INS;172.0
esni;INS;77.0
m;INS;432.0
ẽ;INS;146.0
j;INS;136.0
ũ;INS;18.0
̃;INS;272.0
ose;INS;45.0
nių;INS;43.0
t;INS;131.0
me;INS;162.0
ė;INS;189.0
oje;INS;94.0
siom;INS;15.0
n;INS;250.0
ì;INS;324.0
g;INS;32.0
sian;INS;57.0
si;INS;64.0
ąs;INS;115.0
ã;INS;275.0
nę;INS;24.0
odav;INS;33.0
ž;INS;65.0
yje;INS;19.0
nį;INS;31.0
mas;INS;82.0
l;INS;61.0
es;INS;33.0
davome;INS;60.0
či;INS;46.0
usio;INS;54.0
am;INS;62.0
ęs;INS;31.0
iausi;INS;46.0
usiom;INS;11.0
omis;INS;56.0
iu;INS;59.0
ome;INS;19.0
ý;INS;94.0
esne;INS;17.0
d;INS;153.0
v;INS;155.0
ki;INS;41.0
ja;INS;66.0
k;INS;203.0
davus;INS;62.0
amas;INS;31.0
y;INS;47.0
esnėm;INS;25.0
iame;INS;29.0
uo;INS;175.0
nė;INS;24.0
ui;INS;92.0
davęs;INS;57.0
ių;INS;80.0
ioje;INS;35.0
õ;INS;82.0
damas;INS;54.0
us;INS;26.0
į;INS;71.0
osè;INS;12.0
omi;INS;31.0
č;INS;133.0
esniuo;INS;22.0
dava;INS;64.0
nas;INS;73.0
jąs;INS;13.0
ms;INS;37.0
esnėmi;INS;20.0
ę;INS;92.0
iam;INS;27.0
ų̃;INS;42.0
sio;INS;19.0
é;INS;47.0
au;INS;135.0
iá;INS;47.0
iai;INS;49.0
iem;INS;29.0
dž;INS;11.0
ate;INS;22.0
r;INS;29.0
à;INS;41.0
ò;INS;84.0
om;INS;35.0
as;INS;70.0
ėme;INS;24.0
ám;INS;23.0
aũ;INS;14.0
ią;INS;54.0
nėje;INS;29.0
jome;INS;11.0
io;INS;66.0
óms;INS;11.0
esniu;INS;13.0
esnė;INS;58.0
š;INS;27.0
ių̃;INS;18.0
se;INS;39.0
oms;INS;43.0
um;INS;56.0
iaĩ;INS;20.0
davau;INS;62.0
jo;INS;34.0
niame;INS;22.0
jus;INS;15.0
jè;INS;12.0
ian;INS;18.0
nei;INS;22.0
esniem;INS;26.0
ū;INS;29.0
jęs;INS;14.0
ỹ;INS;75.0
čia;INS;12.0
ne;INS;21.0
ú;INS;46.0
usiomi;INS;14.0
jame;INS;11.0
mis;INS;36.0
ès;INS;16.0
p;INS;9.0
iose;INS;12.0
av;INS;27.0
na;INS;12.0
im;INS;12.0
ùm;INS;12.0
b;INS;29.0
vo;INS;13.0
jamas;INS;13.0
jau;INS;13.0
ni;INS;20.0
usiem;INS;17.0
usiuo;INS;16.0
siomi;INS;12.0
sia;INS;15.0
da;INS;20.0
z;INS;8.0
žia;INS;27.0
nio;INS;29.0
niu;INS;19.0
̇;INS;1.0
;INS;
y;DEL;186.0
i;DEL;1451.0
as;DEL;962.0
u;DEL;658.0
s;DEL;1048.0
t;DEL;1013.0
a;DEL;2185.0
uo;DEL;22.0
yt;DEL;60.0
ė;DEL;287.0
o;DEL;330.0
j;DEL;59.0
n;DEL;150.0
ti;DEL;1060.0
yti;DEL;179.0
g;DEL;39.0
e;DEL;228.0
us;DEL;98.0
is;DEL;110.0
l;DEL;61.0
ėt;DEL;72.0
sti;DEL;19.0
v;DEL;19.0
k;DEL;84.0
ys;DEL;66.0
ėti;DEL;35.0
st;DEL;14.0
r;DEL;26.0
mas;DEL;15.0
š;DEL;16.0
iūt;DEL;24.0
tis;DEL;11.0
d;DEL;28.0
imas;DEL;19.0
uoti;DEL;22.0
p;DEL;9.0
umas;DEL;12.0
sa;DEL;24.0
m;DEL;30.0
ę;DEL;11.0
ž;DEL;15.0
b;DEL;32.0
ū;DEL;11.0
uti;DEL;23.0
oti;DEL;17.0
ynas;DEL;17.0
z;DEL;8.0
č;DEL;1.0
