String;Operation type;Occurrences
l;INS;240
ī;INS;176
t;INS;394
 ;INS;240
nõ;INS;45
d;INS;433
ū;INS;42
b;INS;72
ž;INS;50
i;INS;330
s;INS;405
o;INS;43
r;INS;29
iž;INS;58
ndis;INS;28
õ;INS;608
k;INS;184
m;INS;158
õd;INS;60
ks;INS;62
ndõd;INS;53
dõd;INS;21
um ;INS;52
mõst;INS;17
ņži;INS;11
dõdõks;INS;11
äd ;INS;20
õdõn;INS;29
ndõs;INS;25
ēji;INS;12
ḑi;INS;19
ndt;INS;23
nd;INS;67
ȯ;INS;69
dõ;INS;39
a;INS;48
p;INS;21
õnd;INS;16
ä;INS;112
u;INS;136
v;INS;67
š;INS;68
ndõdõks;INS;27
õks;INS;54
ds;INS;11
ndõn;INS;26
z;INS;122
iz ;INS;26
n;INS;313
st;INS;94
ḑ;INS;26
õdõks;INS;27
ndidi;INS;25
g;INS;101
õst;INS;28
ztõn;INS;12
ē;INS;33
īst;INS;17
algõd ;INS;18
gõd;INS;15
ndõst;INS;25
kst;INS;24
õndõd;INS;11
is;INS;46
idi;INS;41
ndõks;INS;26
ļ;INS;44
ņ;INS;28
sõ;INS;53
õs;INS;27
ši;INS;21
ät ;INS;21
õkst;INS;12
e;INS;11
dõn;INS;83
kõks;INS;29
ist;INS;45
ndõdõn;INS;27
stõ;INS;43
īž;INS;23
õn;INS;58
äb ;INS;87
algõ ;INS;21
dõks;INS;59
ndist;INS;25
zt;INS;29
šõ;INS;15
līb ;INS;13
äuvõ;INS;15
īdi;INS;12
j;INS;30
ā;INS;46
īd;INS;18
äb lī ;INS;16
!;INS;37
īs;INS;15
ndiž;INS;26
zõ;INS;26
ņši;INS;11
ņšti;INS;12
gõ;INS;19
ndst;INS;25
izt ;INS;22
ži;INS;22
nds;INS;26
āg;INS;12
ț;INS;9
dõst;INS;11
īz;INS;12
diž;INS;11
ǟ;INS;15
ām;INS;11
dkõks;INS;21
šti;INS;21
žist;INS;11
ŗ;INS;11
ō;INS;1
õ;DEL;129
kõ;DEL;14
u;DEL;9
o;DEL;14
ŗ;DEL;26
z;DEL;672
a;DEL;125
nā;DEL;43
dõ;DEL;66
ǟdõ;DEL;14
ȱ;DEL;17
äpš;DEL;20
ǟva;DEL;44
ānd;DEL;74
īez;DEL;15
ūlda;DEL;42
ā;DEL;51
ļ;DEL;20
ȱlda;DEL;30
ǟd;DEL;19
l;DEL;69
ņ;DEL;1
š;DEL;1
ȯ;DEL;7
i;DEL;14
s;DEL;6
ǟ;DEL;15
d;DEL;84
tū;DEL;14
li;DEL;17
vȱ;DEL;17
lõ;DEL;37
ō;DEL;4
t;DEL;11
ū;DEL;34
ōvaz;DEL;13
ī;DEL;21
e;DEL;11
ōv;DEL;1
ež;DEL;11
ä;DEL;15
k;DEL;6
ȭ;DEL;4
vȱlda;DEL;14
m;DEL;5
v;DEL;8
n;DEL;3
r;DEL;8
ņtš;DEL;11
g;DEL;6
