Original;Split
INS(quas);INS(q),INS(u),INS(a),INS(s)
INS(icest);INS(i),INS(c),INS(e),INS(s),INS(t)
INS(vayamos);INS(v),INS(a),INS(y),INS(a),INS(m),INS(o),INS(s)
INS(quéis);INS(q),INS(u),INS(é),INS(i),INS(s)
INS(ici);INS(i),INS(c),INS(i)
INS(xisti);INS(x),INS(i),INS(s),INS(t),INS(i)
INS(igamos);INS(i),INS(g),INS(a),INS(m),INS(o),INS(s)
INS(ga);INS(g),INS(a)
INS(sábemo);INS(s),INS(á),INS(b),INS(e),INS(m),INS(o)
INS(iximos);INS(i),INS(x),INS(i),INS(m),INS(o),INS(s)
INS(uvier);INS(u),INS(v),INS(i),INS(e),INS(r)
INS(questi);INS(q),INS(u),INS(e),INS(s),INS(t),INS(i)
INS(uvie);INS(u),INS(v),INS(i),INS(e)
INS(fu);INS(f),INS(u)
INS(ba);INS(b),INS(a)
INS(aí);INS(a),INS(í)
INS(fué);INS(f),INS(u),INS(é)
INS(z);INS(z)
INS(cestis);INS(c),INS(e),INS(s),INS(t),INS(i),INS(s)
INS(uvi);INS(u),INS(v),INS(i)
INS(ese);INS(e),INS(s),INS(e)
INS(iá);INS(i),INS(á)
INS(séi);INS(s),INS(é),INS(i)
INS(céis);INS(c),INS(é),INS(i),INS(s)
INS(iquest);INS(i),INS(q),INS(u),INS(e),INS(s),INS(t)
INS(ist);INS(i),INS(s),INS(t)
INS(gas);INS(g),INS(a),INS(s)
INS(ué);INS(u),INS(é)
INS(qué);INS(q),INS(u),INS(é)
INS(gamos);INS(g),INS(a),INS(m),INS(o),INS(s)
INS(uesti);INS(u),INS(e),INS(s),INS(t),INS(i)
INS(éi);INS(é),INS(i)
INS(ixi);INS(i),INS(x),INS(i)
INS(uvié);INS(u),INS(v),INS(i),INS(é)
INS(quan);INS(q),INS(u),INS(a),INS(n)
INS(ixé);INS(i),INS(x),INS(é)
INS(uelen);INS(u),INS(e),INS(l),INS(e),INS(n)
INS(unxéram);INS(u),INS(n),INS(x),INS(é),INS(r),INS(a),INS(m)
INS(uéis);INS(u),INS(é),INS(i),INS(s)
INS(fo);INS(f),INS(o)
INS(uedopue);INS(u),INS(e),INS(d),INS(o),INS(p),INS(u),INS(e)
INS(cen);INS(c),INS(e),INS(n)
INS(endo);INS(e),INS(n),INS(d),INS(o)
INS(vas);INS(v),INS(a),INS(s)
INS(se);INS(s),INS(e)
INS(yas);INS(y),INS(a),INS(s)
INS(udiem);INS(u),INS(d),INS(i),INS(e),INS(m)
INS(uestis);INS(u),INS(e),INS(s),INS(t),INS(i),INS(s)
INS(íu);INS(í),INS(u)
INS(ís);INS(í),INS(s)
INS(fó);INS(f),INS(ó)
INS(fue);INS(f),INS(u),INS(e)
INS(aig);INS(a),INS(i),INS(g)
INS(cé);INS(c),INS(é)
INS(cesti);INS(c),INS(e),INS(s),INS(t),INS(i)
INS(izofixo);INS(i),INS(z),INS(o),INS(f),INS(i),INS(x),INS(o)
INS(fost);INS(f),INS(o),INS(s),INS(t)
INS(ida);INS(i),INS(d),INS(a)
INS(uviemos);INS(u),INS(v),INS(i),INS(e),INS(m),INS(o),INS(s)
INS(sái);INS(s),INS(á),INS(i)
INS(equ);INS(e),INS(q),INS(u)
