Original;Split
INS(jící);INS(j),INS(í),INS(c),INS(í)
INS(ůvěřujme);INS(ů),INS(v),INS(ě),INS(ř),INS(u),INS(j),INS(m),INS(e)
INS(jíc);INS(j),INS(í),INS(c)
INS(ři);INS(ř),INS(i)
INS(ěno);INS(ě),INS(n),INS(o)
INS(jíce);INS(j),INS(í),INS(c),INS(e)
INS(eje);INS(e),INS(j),INS(e)
INS(íme);INS(í),INS(m),INS(e)
INS(jí);INS(j),INS(í)
INS(n);INS(n)
INS(byla bys orient);INS(b),INS(y),INS(l),INS(a),INS( ),INS(b),INS(y),INS(s),INS( ),INS(o),INS(r),INS(i),INS(e),INS(n),INS(t)
INS(mů);INS(m),INS(ů)
INS(ňata);INS(ň),INS(a),INS(t),INS(a)
INS(emi);INS(e),INS(m),INS(i)
INS(zí);INS(z),INS(í)
INS(íš);INS(í),INS(š)
INS(oval);INS(o),INS(v),INS(a),INS(l)
INS(ně);INS(n),INS(ě)
INS(šly by);INS(š),INS(l),INS(y),INS( ),INS(b),INS(y)
INS(ěla by);INS(ě),INS(l),INS(a),INS( ),INS(b),INS(y)
INS(ty);INS(t),INS(y)
INS(oně);INS(o),INS(n),INS(ě)
INS(ylo bych);INS(y),INS(l),INS(o),INS( ),INS(b),INS(y),INS(c),INS(h)
INS(šla);INS(š),INS(l),INS(a)
INS(cí);INS(c),INS(í)
INS(na);INS(n),INS(a)
INS(ďatům);INS(ď),INS(a),INS(t),INS(ů),INS(m)
INS(chá);INS(c),INS(h),INS(á)
INS(yla bys);INS(y),INS(l),INS(a),INS( ),INS(b),INS(y),INS(s)
INS(e se bála);INS(e),INS( ),INS(s),INS(e),INS( ),INS(b),INS(á),INS(l),INS(a)
INS(ny);INS(n),INS(y)
INS(ali);INS(a),INS(l),INS(i)
INS(eš);INS(e),INS(š)
INS(ili js);INS(i),INS(l),INS(i),INS( ),INS(j),INS(s)
INS(la);INS(l),INS(a)
INS(ít);INS(í),INS(t)
INS(ové);INS(o),INS(v),INS(é)
INS(tem);INS(t),INS(e),INS(m)
INS(rient);INS(r),INS(i),INS(e),INS(n),INS(t)
INS(išl);INS(i),INS(š),INS(l)
INS(šli by);INS(š),INS(l),INS(i),INS( ),INS(b),INS(y)
INS(edla);INS(e),INS(d),INS(l),INS(a)
INS(ic);INS(i),INS(c)
INS(edl);INS(e),INS(d),INS(l)
INS(tí);INS(t),INS(í)
INS(av);INS(a),INS(v)
INS(ni);INS(n),INS(i)
INS(dích);INS(d),INS(í),INS(c),INS(h)
INS(áš);INS(á),INS(š)
INS(ti);INS(t),INS(i)
INS(ala bys);INS(a),INS(l),INS(a),INS( ),INS(b),INS(y),INS(s)
INS(ěla js);INS(ě),INS(l),INS(a),INS( ),INS(j),INS(s)
INS(ze);INS(z),INS(e)
INS(yl);INS(y),INS(l)
INS(áme);INS(á),INS(m),INS(e)
INS(ěla);INS(ě),INS(l),INS(a)
INS(ali bys);INS(a),INS(l),INS(i),INS( ),INS(b),INS(y),INS(s)
INS(ěj);INS(ě),INS(j)
INS(ala);INS(a),INS(l),INS(a)
INS(ejme);INS(e),INS(j),INS(m),INS(e)
INS(ých);INS(ý),INS(c),INS(h)
INS(ší);INS(š),INS(í)
INS(po);INS(p),INS(o)
INS(ď);INS(ď)
INS(ní);INS(n),INS(í)
INS(byl by orient);INS(b),INS(y),INS(l),INS( ),INS(b),INS(y),INS( ),INS(o),INS(r),INS(i),INS(e),INS(n),INS(t)
INS(amý);INS(a),INS(m),INS(ý)
INS(šla bych);INS(š),INS(l),INS(a),INS( ),INS(b),INS(y),INS(c),INS(h)
INS(dou);INS(d),INS(o),INS(u)
INS(s);INS(s)
INS(ře);INS(ř),INS(e)
INS(ata);INS(a),INS(t),INS(a)
INS(ili jsm);INS(i),INS(l),INS(i),INS( ),INS(j),INS(s),INS(m)
INS(ůvěř);INS(ů),INS(v),INS(ě),INS(ř)
INS(de);INS(d),INS(e)
INS(esl);INS(e),INS(s),INS(l)
INS(yje);INS(y),INS(j),INS(e)
INS(aly);INS(a),INS(l),INS(y)
INS(ěla bychom);INS(ě),INS(l),INS(a),INS( ),INS(b),INS(y),INS(c),INS(h),INS(o),INS(m)
INS(me);INS(m),INS(e)
INS(ese);INS(e),INS(s),INS(e)
INS(tím);INS(t),INS(í),INS(m)
INS(byli by orient);INS(b),INS(y),INS(l),INS(i),INS( ),INS(b),INS(y),INS( ),INS(o),INS(r),INS(i),INS(e),INS(n),INS(t)
INS(ez);INS(e),INS(z)
INS(aj);INS(a),INS(j)
INS(šel );INS(š),INS(e),INS(l),INS( )
INS(si);INS(s),INS(i)
INS(tech);INS(t),INS(e),INS(c),INS(h)
INS(byly by);INS(b),INS(y),INS(l),INS(y),INS( ),INS(b),INS(y)
INS(te jme);INS(t),INS(e),INS( ),INS(j),INS(m),INS(e)
INS(šlo);INS(š),INS(l),INS(o)
INS(aly jsme);INS(a),INS(l),INS(y),INS( ),INS(j),INS(s),INS(m),INS(e)
INS(němi);INS(n),INS(ě),INS(m),INS(i)
INS(má);INS(m),INS(á)
INS(al jsi);INS(a),INS(l),INS( ),INS(j),INS(s),INS(i)
INS(sil j);INS(s),INS(i),INS(l),INS( ),INS(j)
INS(zích);INS(z),INS(í),INS(c),INS(h)
INS(jme);INS(j),INS(m),INS(e)
INS(byla by);INS(b),INS(y),INS(l),INS(a),INS( ),INS(b),INS(y)
INS( jme);INS( ),INS(j),INS(m),INS(e)
INS(ovala);INS(o),INS(v),INS(a),INS(l),INS(a)
INS(ala js);INS(a),INS(l),INS(a),INS( ),INS(j),INS(s)
INS(o singular);INS(o),INS( ),INS(s),INS(i),INS(n),INS(g),INS(u),INS(l),INS(a),INS(r)
INS(ěli);INS(ě),INS(l),INS(i)
INS(č);INS(č)
INS(tě);INS(t),INS(ě)
INS(edem);INS(e),INS(d),INS(e),INS(m)
INS(ala by);INS(a),INS(l),INS(a),INS( ),INS(b),INS(y)
INS(el);INS(e),INS(l)
INS(jou);INS(j),INS(o),INS(u)
INS(amé);INS(a),INS(m),INS(é)
INS(eme);INS(e),INS(m),INS(e)
INS(mé);INS(m),INS(é)
INS(lo se bys);INS(l),INS(o),INS( ),INS(s),INS(e),INS( ),INS(b),INS(y),INS(s)
INS(ete);INS(e),INS(t),INS(e)
INS(mí);INS(m),INS(í)
INS(alo js);INS(a),INS(l),INS(o),INS( ),INS(j),INS(s)
INS(rientují);INS(r),INS(i),INS(e),INS(n),INS(t),INS(u),INS(j),INS(í)
INS(byl bych se );INS(b),INS(y),INS(l),INS( ),INS(b),INS(y),INS(c),INS(h),INS( ),INS(s),INS(e),INS( )
INS(ouce);INS(o),INS(u),INS(c),INS(e)
INS(ouc);INS(o),INS(u),INS(c)
INS(ješ);INS(j),INS(e),INS(š)
INS(ešti);INS(e),INS(š),INS(t),INS(i)
INS(atům);INS(a),INS(t),INS(ů),INS(m)
INS(edli);INS(e),INS(d),INS(l),INS(i)
INS(ří);INS(ř),INS(í)
INS(den);INS(d),INS(e),INS(n)
