Original;Split
INS(ett);INS(e),INS(t),INS(t)
INS(merne);INS(m),INS(e),INS(r),INS(n),INS(e)
INS(sene);INS(s),INS(e),INS(n),INS(e)
INS(me);INS(m),INS(e)
INS(de);INS(d),INS(e)
INS(fers);INS(f),INS(e),INS(r),INS(s)
INS(pen);INS(p),INS(e),INS(n)
INS(let);INS(l),INS(e),INS(t)
INS(enn);INS(e),INS(n),INS(n)
INS(pene);INS(p),INS(e),INS(n),INS(e)
INS('erne);INS('),INS(e),INS(r),INS(n),INS(e)
INS(pes);INS(p),INS(e),INS(s)
INS(kene);INS(k),INS(e),INS(n),INS(e)
INS(tene);INS(t),INS(e),INS(n),INS(e)
INS(nerne);INS(n),INS(e),INS(r),INS(n),INS(e)
INS(rene);INS(r),INS(e),INS(n),INS(e)
INS(ben);INS(b),INS(e),INS(n)
INS(ket);INS(k),INS(e),INS(t)
INS(les);INS(l),INS(e),INS(s)
INS(gene);INS(g),INS(e),INS(n),INS(e)
INS(pet);INS(p),INS(e),INS(t)
INS(vaflen);INS(v),INS(a),INS(f),INS(l),INS(e),INS(n)
INS(derne);INS(d),INS(e),INS(r),INS(n),INS(e)
INS(æd);INS(æ),INS(d)
INS('ers);INS('),INS(e),INS(r),INS(s)
INS(rønne);INS(r),INS(ø),INS(n),INS(n),INS(e)
INS(sa);INS(s),INS(a)
INS(ders);INS(d),INS(e),INS(r),INS(s)
INS(ges);INS(g),INS(e),INS(s)
INS(tte);INS(t),INS(t),INS(e)
INS(menrom'en);INS(m),INS(e),INS(n),INS(r),INS(o),INS(m),INS('),INS(e),INS(n)
INS(den);INS(d),INS(e),INS(n)
INS(kers);INS(k),INS(e),INS(r),INS(s)
INS(tes);INS(t),INS(e),INS(s)
INS(perne);INS(p),INS(e),INS(r),INS(n),INS(e)
INS(fet);INS(f),INS(e),INS(t)
INS(zers);INS(z),INS(e),INS(r),INS(s)
INS(s');INS(s),INS(')
INS(pers);INS(p),INS(e),INS(r),INS(s)
INS(ber);INS(b),INS(e),INS(r)
INS(vablen);INS(v),INS(a),INS(b),INS(l),INS(e),INS(n)
INS(a);INS(a)
INS(der);INS(d),INS(e),INS(r)
INS(men);INS(m),INS(e),INS(n)
INS(set);INS(s),INS(e),INS(t)
INS(nde);INS(n),INS(d),INS(e)
INS(per);INS(p),INS(e),INS(r)
INS(lene);INS(l),INS(e),INS(n),INS(e)
INS(pudlen);INS(p),INS(u),INS(d),INS(l),INS(e),INS(n)
INS(get);INS(g),INS(e),INS(t)
INS(faklen);INS(f),INS(a),INS(k),INS(l),INS(e),INS(n)
INS('s);INS('),INS(s)
INS(onklen);INS(o),INS(n),INS(k),INS(l),INS(e),INS(n)
INS(mes);INS(m),INS(e),INS(s)
INS(øer);INS(ø),INS(e),INS(r)
INS(kedlen);INS(k),INS(e),INS(d),INS(l),INS(e),INS(n)
INS(berne);INS(b),INS(e),INS(r),INS(n),INS(e)
INS(fer);INS(f),INS(e),INS(r)
INS(’);INS(’)
INS(gaflen);INS(g),INS(a),INS(f),INS(l),INS(e),INS(n)
INS(gen);INS(g),INS(e),INS(n)
INS(nene);INS(n),INS(e),INS(n),INS(e)
INS(det);INS(d),INS(e),INS(t)
INS(nes);INS(n),INS(e),INS(s)
INS(ebægre);INS(e),INS(b),INS(æ),INS(g),INS(r),INS(e)
INS(ferne);INS(f),INS(e),INS(r),INS(n),INS(e)
INS(kes);INS(k),INS(e),INS(s)
INS(aene);INS(a),INS(e),INS(n),INS(e)
INS(etbægret);INS(e),INS(t),INS(b),INS(æ),INS(g),INS(r),INS(e),INS(t)
INS(orme);INS(o),INS(r),INS(m),INS(e)
INS(enenæbbene);INS(e),INS(n),INS(e),INS(n),INS(æ),INS(b),INS(b),INS(e),INS(n),INS(e)
INS(haslen);INS(h),INS(a),INS(s),INS(l),INS(e),INS(n)
INS(ge);INS(g),INS(e)
INS(nne);INS(n),INS(n),INS(e)
INS(ænæ);INS(æ),INS(n),INS(æ)
INS(l);INS(l)
INS(estigres);INS(e),INS(s),INS(t),INS(i),INS(g),INS(r),INS(e),INS(s)
INS(esorms);INS(e),INS(s),INS(o),INS(r),INS(m),INS(s)
INS(zen);INS(z),INS(e),INS(n)
INS(rse);INS(r),INS(s),INS(e)
INS(ret);INS(r),INS(e),INS(t)
INS(sablen);INS(s),INS(a),INS(b),INS(l),INS(e),INS(n)
INS(etigre);INS(e),INS(t),INS(i),INS(g),INS(r),INS(e)
INS(nehamrene);INS(n),INS(e),INS(h),INS(a),INS(m),INS(r),INS(e),INS(n),INS(e)
INS(figners);INS(f),INS(i),INS(g),INS(n),INS(e),INS(r),INS(s)
INS(æn);INS(æ),INS(n)
INS(enebægrene);INS(e),INS(n),INS(e),INS(b),INS(æ),INS(g),INS(r),INS(e),INS(n),INS(e)
INS(ke);INS(k),INS(e)
INS(zerne);INS(z),INS(e),INS(r),INS(n),INS(e)
INS(bers);INS(b),INS(e),INS(r),INS(s)
INS('en);INS('),INS(e),INS(n)
INS(fen);INS(f),INS(e),INS(n)
INS(esbægres);INS(e),INS(s),INS(b),INS(æ),INS(g),INS(r),INS(e),INS(s)
INS(as);INS(a),INS(s)
INS(le);INS(l),INS(e)
INS(niplen);INS(n),INS(i),INS(p),INS(l),INS(e),INS(n)
INS(ae);INS(a),INS(e)
INS(eern);INS(e),INS(e),INS(r),INS(n)
INS(enenaftn);INS(e),INS(n),INS(e),INS(n),INS(a),INS(f),INS(t),INS(n)
INS(øers);INS(ø),INS(e),INS(r),INS(s)
INS(mernerom'erne);INS(m),INS(e),INS(r),INS(n),INS(e),INS(r),INS(o),INS(m),INS('),INS(e),INS(r),INS(n),INS(e)
INS(himlen);INS(h),INS(i),INS(m),INS(l),INS(e),INS(n)
INS(reglen);INS(r),INS(e),INS(g),INS(l),INS(e),INS(n)
INS(net);INS(n),INS(e),INS(t)
INS(epebre);INS(e),INS(p),INS(e),INS(b),INS(r),INS(e)
INS(ners);INS(n),INS(e),INS(r),INS(s)
INS(møblet);INS(m),INS(ø),INS(b),INS(l),INS(e),INS(t)
INS(nepebrene);INS(n),INS(e),INS(p),INS(e),INS(b),INS(r),INS(e),INS(n),INS(e)
INS(midlet);INS(m),INS(i),INS(d),INS(l),INS(e),INS(t)
INS(kamret);INS(k),INS(a),INS(m),INS(r),INS(e),INS(t)
INS(nesrøns);INS(n),INS(e),INS(s),INS(r),INS(ø),INS(n),INS(s)
INS(padlen);INS(p),INS(a),INS(d),INS(l),INS(e),INS(n)
INS(merrom'er);INS(m),INS(e),INS(r),INS(r),INS(o),INS(m),INS('),INS(e),INS(r)
INS(fablen);INS(f),INS(a),INS(b),INS(l),INS(e),INS(n)
INS('er);INS('),INS(e),INS(r)
INS(søer);INS(s),INS(ø),INS(e),INS(r)
INS(nudlen);INS(n),INS(u),INS(d),INS(l),INS(e),INS(n)
INS(riflen);INS(r),INS(i),INS(f),INS(l),INS(e),INS(n)
DEL(te);DEL(t),DEL(e)
DEL(tage);DEL(tag),DEL(e)
DEL(at);DEL(a),DEL(t)
DEL(me);DEL(m),DEL(e)
DEL(on);DEL(o),DEL(n)
DEL(ke);DEL(k),DEL(e)
DEL(å);DEL(å)
DEL(pe);DEL(p),DEL(e)
DEL(barn);DEL(b),DEL(a),DEL(r),DEL(n)
