Original;Split
INS(me);INS(m),INS(e)
INS(edel);INS(e),INS(d),INS(e),INS(l)
INS(red);INS(r),INS(e),INS(d)
INS(dav);INS(d),INS(a),INS(v)
INS(etudp);INS(e),INS(t),INS(u),INS(d),INS(p)
INS(utena);INS(u),INS(t),INS(e),INS(n),INS(a)
INS(eksite);INS(e),INS(k),INS(s),INS(i),INS(t),INS(e)
INS(retu);INS(r),INS(e),INS(t),INS(u)
INS(ksime);INS(k),INS(s),INS(i),INS(m),INS(e)
INS(uga);INS(u),INS(g),INS(a)
INS(uks);INS(u),INS(k),INS(s)
INS(latess);INS(l),INS(a),INS(t),INS(e),INS(s),INS(s)
INS(k);INS(k)
INS(oega);INS(o),INS(e),INS(g),INS(a)
INS(ev);INS(e),INS(v)
INS(jat);INS(j),INS(a),INS(t)
INS(tri);INS(t),INS(r),INS(i)
INS(uteks);INS(u),INS(t),INS(e),INS(k),INS(s)
INS(atest);INS(a),INS(t),INS(e),INS(s),INS(t)
INS(ess);INS(e),INS(s),INS(s)
INS(edess);INS(e),INS(d),INS(e),INS(s),INS(s)
INS(tratel);INS(t),INS(r),INS(a),INS(t),INS(e),INS(l)
INS(hku);INS(h),INS(k),INS(u)
INS(utest);INS(u),INS(t),INS(e),INS(s),INS(t)
INS(tate);INS(t),INS(a),INS(t),INS(e)
INS(lasid);INS(l),INS(a),INS(s),INS(i),INS(d)
INS(vad);INS(v),INS(a),INS(d)
INS(in);INS(i),INS(n)
INS(sega);INS(s),INS(e),INS(g),INS(a)
INS(ht);INS(h),INS(t)
INS(eob);INS(e),INS(o),INS(b)
INS(tagu);INS(t),INS(a),INS(g),INS(u)
INS(iden);INS(i),INS(d),INS(e),INS(n)
INS(j);INS(j)
INS(idaks);INS(i),INS(d),INS(a),INS(k),INS(s)
INS(ateg);INS(a),INS(t),INS(e),INS(g)
INS(ve);INS(v),INS(e)
INS(dl);INS(d),INS(l)
INS(ne);INS(n),INS(e)
INS(eldu);INS(e),INS(l),INS(d),INS(u)
INS(r);INS(r)
INS(e nähk);INS(e),INS( ),INS(n),INS(ä),INS(h),INS(k)
INS(eksid);INS(e),INS(k),INS(s),INS(i),INS(d)
INS(läksit);INS(l),INS(ä),INS(k),INS(s),INS(i),INS(t)
INS(rit);INS(r),INS(i),INS(t)
INS(daks);INS(d),INS(a),INS(k),INS(s)
INS(da);INS(d),INS(a)
INS(itele);INS(i),INS(t),INS(e),INS(l),INS(e)
INS(nit);INS(n),INS(i),INS(t)
INS(ril);INS(r),INS(i),INS(l)
INS(aksi);INS(a),INS(k),INS(s),INS(i)
INS(tu);INS(t),INS(u)
INS(udn);INS(u),INS(d),INS(n)
INS(o);INS(o)
INS(utega);INS(u),INS(t),INS(e),INS(g),INS(a)
INS(hta);INS(h),INS(t),INS(a)
INS(esse);INS(e),INS(s),INS(s),INS(e)
INS(gu olnud);INS(g),INS(u),INS( ),INS(o),INS(l),INS(n),INS(u),INS(d)
INS(eksit);INS(e),INS(k),INS(s),INS(i),INS(t)
INS(olen lä);INS(o),INS(l),INS(e),INS(n),INS( ),INS(l),INS(ä)
INS(esit);INS(e),INS(s),INS(i),INS(t)
INS(lil);INS(l),INS(i),INS(l)
INS(nni);INS(n),INS(n),INS(i)
INS(ks olnudp);INS(k),INS(s),INS( ),INS(o),INS(l),INS(n),INS(u),INS(d),INS(p)
INS(seta);INS(s),INS(e),INS(t),INS(a)
INS(datel);INS(d),INS(a),INS(t),INS(e),INS(l)
INS(eg);INS(e),INS(g)
INS(lat);INS(l),INS(a),INS(t)
INS(ek);INS(e),INS(k)
INS(km);INS(k),INS(m)
INS(utel);INS(u),INS(t),INS(e),INS(l)
INS(etu);INS(e),INS(t),INS(u)
INS(pp);INS(p),INS(p)
INS(toasse);INS(t),INS(o),INS(a),INS(s),INS(s),INS(e)
INS(jaksi);INS(j),INS(a),INS(k),INS(s),INS(i)
INS(lnud);INS(l),INS(n),INS(u),INS(d)
INS(setess);INS(s),INS(e),INS(t),INS(e),INS(s),INS(s)
INS(ava);INS(a),INS(v),INS(a)
INS(rava);INS(r),INS(a),INS(v),INS(a)
INS(elnu);INS(e),INS(l),INS(n),INS(u)
INS(di);INS(d),INS(i)
INS(deltaknailt);INS(d),INS(e),INS(l),INS(t),INS(a),INS(k),INS(n),INS(a),INS(i),INS(l),INS(t)
INS(edatess);INS(e),INS(d),INS(a),INS(t),INS(e),INS(s),INS(s)
INS(atele);INS(a),INS(t),INS(e),INS(l),INS(e)
INS(ttetões);INS(t),INS(t),INS(e),INS(t),INS(õ),INS(e),INS(s)
INS(metes);INS(m),INS(e),INS(t),INS(e),INS(s)
INS(htud);INS(h),INS(t),INS(u),INS(d)
INS(idp);INS(i),INS(d),INS(p)
INS(usid);INS(u),INS(s),INS(i),INS(d)
INS(gitud);INS(g),INS(i),INS(t),INS(u),INS(d)
INS(dalt);INS(d),INS(a),INS(l),INS(t)
INS(ids);INS(i),INS(d),INS(s)
INS(nitu);INS(n),INS(i),INS(t),INS(u)
INS(deltvöilt);INS(d),INS(e),INS(l),INS(t),INS(v),INS(ö),INS(i),INS(l),INS(t)
INS(nava);INS(n),INS(a),INS(v),INS(a)
INS(sete);INS(s),INS(e),INS(t),INS(e)
INS(inudp);INS(i),INS(n),INS(u),INS(d),INS(p)
INS(ateks);INS(a),INS(t),INS(e),INS(k),INS(s)
INS(liss);INS(l),INS(i),INS(s),INS(s)
INS(natav);INS(n),INS(a),INS(t),INS(a),INS(v)
INS(tev);INS(t),INS(e),INS(v)
INS(edesse);INS(e),INS(d),INS(e),INS(s),INS(s),INS(e)
INS(õin);INS(õ),INS(i),INS(n)
INS(ritess);INS(r),INS(i),INS(t),INS(e),INS(s),INS(s)
INS(edelt);INS(e),INS(d),INS(e),INS(l),INS(t)
INS(tavat);INS(t),INS(a),INS(v),INS(a),INS(t)
INS(sest);INS(s),INS(e),INS(s),INS(t)
INS(ei o);INS(e),INS(i),INS( ),INS(o)
