Original;Split
INS(ökről);INS(ö),INS(k),INS(r),INS(ő),INS(l)
INS(nel);INS(n),INS(e),INS(l)
INS(elekk);INS(e),INS(l),INS(e),INS(k),INS(k)
INS(je);INS(j),INS(e)
INS(kké);INS(k),INS(k),INS(é)
INS(jetek);INS(j),INS(e),INS(t),INS(e),INS(k)
INS(lérő);INS(l),INS(é),INS(r),INS(ő)
INS(ék);INS(é),INS(k)
INS(né);INS(n),INS(é)
INS(singu);INS(s),INS(i),INS(n),INS(g),INS(u)
INS(r);INS(r)
INS(arakk);INS(a),INS(r),INS(a),INS(k),INS(k)
INS(nem);INS(n),INS(e),INS(m)
INS(goki);INS(g),INS(o),INS(k),INS(i)
INS(jam);INS(j),INS(a),INS(m)
INS(all);INS(a),INS(l),INS(l)
INS(pal);INS(p),INS(a),INS(l)
INS(tétek);INS(t),INS(é),INS(t),INS(e),INS(k)
INS(ékként);INS(é),INS(k),INS(k),INS(é),INS(n),INS(t)
INS(endő);INS(e),INS(n),INS(d),INS(ő)
INS(lokró);INS(l),INS(o),INS(k),INS(r),INS(ó)
INS(ettétek);INS(e),INS(t),INS(t),INS(é),INS(t),INS(e),INS(k)
INS(sd);INS(s),INS(d)
INS(tal);INS(t),INS(a),INS(l)
INS(lró);INS(l),INS(r),INS(ó)
INS(jatok);INS(j),INS(a),INS(t),INS(o),INS(k)
INS(ü);INS(ü)
INS(öktől);INS(ö),INS(k),INS(t),INS(ő),INS(l)
INS(é);INS(é)
INS(kne);INS(k),INS(n),INS(e)
INS(nének);INS(n),INS(é),INS(n),INS(e),INS(k)
INS(kák);INS(k),INS(á),INS(k)
INS(nné);INS(n),INS(n),INS(é)
INS(ökként);INS(ö),INS(k),INS(k),INS(é),INS(n),INS(t)
INS(plur);INS(p),INS(l),INS(u),INS(r)
INS(lakbó);INS(l),INS(a),INS(k),INS(b),INS(ó)
INS(évé);INS(é),INS(v),INS(é)
INS(gel);INS(g),INS(e),INS(l)
INS(ottad);INS(o),INS(t),INS(t),INS(a),INS(d)
INS(zátok);INS(z),INS(á),INS(t),INS(o),INS(k)
INS(za);INS(z),INS(a)
INS(zun);INS(z),INS(u),INS(n)
INS(énak);INS(é),INS(n),INS(a),INS(k)
INS(anátok);INS(a),INS(n),INS(á),INS(t),INS(o),INS(k)
INS(anának);INS(a),INS(n),INS(á),INS(n),INS(a),INS(k)
INS(ettem);INS(e),INS(t),INS(t),INS(e),INS(m)
INS(-ben);INS(-),INS(b),INS(e),INS(n)
INS(jem);INS(j),INS(e),INS(m)
INS(éh);INS(é),INS(h)
INS(ottál);INS(o),INS(t),INS(t),INS(á),INS(l)
INS(ing);INS(i),INS(n),INS(g)
INS(la);INS(l),INS(a)
INS(tekér);INS(t),INS(e),INS(k),INS(é),INS(r)
INS(ssam);INS(s),INS(s),INS(a),INS(m)
INS(khez);INS(k),INS(h),INS(e),INS(z)
INS(anánk);INS(a),INS(n),INS(á),INS(n),INS(k)
INS(ltó);INS(l),INS(t),INS(ó)
INS(övekb);INS(ö),INS(v),INS(e),INS(k),INS(b)
INS(év);INS(é),INS(v)
