Original;Split
INS(urunum);INS(u),INS(r),INS(u),INS(n),INS(u),INS(m)
INS(rnar);INS(r),INS(n),INS(a),INS(r)
INS(yti);INS(y),INS(t),INS(i)
INS(ldi);INS(l),INS(d),INS(i)
INS(tum);INS(t),INS(u),INS(m)
INS(iði);INS(i),INS(ð),INS(i)
INS(ennin);INS(e),INS(n),INS(n),INS(i),INS(n)
INS(jana);INS(j),INS(a),INS(n),INS(a)
INS(uldu);INS(u),INS(l),INS(d),INS(u)
INS(nur);INS(n),INS(u),INS(r)
INS(pst);INS(p),INS(s),INS(t)
INS(ögum);INS(ö),INS(g),INS(u),INS(m)
INS(öðum);INS(ö),INS(ð),INS(u),INS(m)
INS(vanna);INS(v),INS(a),INS(n),INS(n),INS(a)
INS(ökum);INS(ö),INS(k),INS(u),INS(m)
INS(æðum);INS(æ),INS(ð),INS(u),INS(m)
INS(mönnunu);INS(m),INS(ö),INS(n),INS(n),INS(u),INS(n),INS(u)
INS(nna);INS(n),INS(n),INS(a)
INS(ðu);INS(ð),INS(u)
INS(öluðu);INS(ö),INS(l),INS(u),INS(ð),INS(u)
INS(ennirni);INS(e),INS(n),INS(n),INS(i),INS(r),INS(n),INS(i)
INS(definite);INS(d),INS(e),INS(f),INS(i),INS(n),INS(i),INS(t),INS(e)
INS(urna);INS(u),INS(r),INS(n),INS(a)
INS(nninum);INS(n),INS(n),INS(i),INS(n),INS(u),INS(m)
INS(rna);INS(r),INS(n),INS(a)
INS(ifu);INS(i),INS(f),INS(u)
INS(ifi);INS(i),INS(f),INS(i)
INS(urinnar);INS(u),INS(r),INS(i),INS(n),INS(n),INS(a),INS(r)
INS(ru);INS(r),INS(u)
INS(dum);INS(d),INS(u),INS(m)
INS(manu);INS(m),INS(a),INS(n),INS(u)
INS(ápuð);INS(á),INS(p),INS(u),INS(ð)
INS(ssin);INS(s),INS(s),INS(i),INS(n)
INS(tt);INS(t),INS(t)
INS(arna);INS(a),INS(r),INS(n),INS(a)
INS(inið);INS(i),INS(n),INS(i),INS(ð)
INS(ötur);INS(ö),INS(t),INS(u),INS(r)
INS(ari);INS(a),INS(r),INS(i)
INS(y);INS(y)
INS(rði);INS(r),INS(ð),INS(i)
INS(annann);INS(a),INS(n),INS(n),INS(a),INS(n),INS(n)
INS(æðu);INS(æ),INS(ð),INS(u)
INS(öku);INS(ö),INS(k),INS(u)
INS(ækju);INS(æ),INS(k),INS(j),INS(u)
INS(mu);INS(m),INS(u)
INS(ug);INS(u),INS(g)
INS(unduð);INS(u),INS(n),INS(d),INS(u),INS(ð)
INS(nnsins);INS(n),INS(n),INS(s),INS(i),INS(n),INS(s)
INS(ölu);INS(ö),INS(l),INS(u)
INS(örfunn);INS(ö),INS(r),INS(f),INS(u),INS(n),INS(n)
INS(nar);INS(n),INS(ar)
INS(ökurum);INS(ö),INS(k),INS(u),INS(r),INS(u),INS(m)
INS(ktir);INS(k),INS(t),INS(i),INS(r)
INS(ri);INS(r),INS(i)
INS(örpunn);INS(ö),INS(r),INS(p),INS(u),INS(n),INS(n)
INS(nann);INS(n),INS(a),INS(n),INS(n)
INS(sin);INS(s),INS(i),INS(n)
INS(munu);INS(m),INS(u),INS(n),INS(u)
INS(rarni);INS(r),INS(a),INS(r),INS(n),INS(i)
INS(nan);INS(n),INS(a),INS(n)
INS(uldir);INS(u),INS(l),INS(d),INS(i),INS(r)
INS(ösunum);INS(ö),INS(s),INS(u),INS(n),INS(u),INS(m)
INS(ndefinite);INS(n),INS(d),INS(e),INS(f),INS(i),INS(n),INS(i),INS(t),INS(e)
INS(öguðum);INS(ö),INS(g),INS(u),INS(ð),INS(u),INS(m)
INS(örfurn);INS(ö),INS(r),INS(f),INS(u),INS(r),INS(n)
INS(va);INS(v),INS(a)
INS(end);INS(e),INS(n),INS(d)
INS(örum);INS(ö),INS(r),INS(u),INS(m)
INS(jarnar);INS(j),INS(a),INS(r),INS(n),INS(a),INS(r)
INS(æðurna);INS(æ),INS(ð),INS(u),INS(r),INS(n),INS(a)
INS(aðanna);INS(a),INS(ð),INS(a),INS(n),INS(n),INS(a)
INS(ulið);INS(u),INS(l),INS(i),INS(ð)
INS(æki);INS(æ),INS(k),INS(i)
INS(ðuðu);INS(ð),INS(u),INS(ð),INS(u)
INS(anan);INS(a),INS(n),INS(a),INS(n)
INS(otið);INS(o),INS(t),INS(i),INS(ð)
INS(ölunum);INS(ö),INS(l),INS(u),INS(n),INS(u),INS(m)
INS(var);INS(v),INS(a),INS(r)
INS(ararinna);INS(a),INS(r),INS(a),INS(r),INS(i),INS(n),INS(n),INS(a)
INS(irnir);INS(i),INS(r),INS(n),INS(i),INS(r)
INS(ömu);INS(ö),INS(m),INS(u)
INS(urnar);INS(u),INS(r),INS(n),INS(a),INS(r)
INS(irarn);INS(i),INS(r),INS(a),INS(r),INS(n)
INS(subcl);INS(s),INS(u),INS(b),INS(c),INS(l)
INS(use);INS(u),INS(s),INS(e)
INS(önuðuð);INS(ö),INS(n),INS(u),INS(ð),INS(u),INS(ð)
INS(rni);INS(r),INS(n),INS(i)
INS(jirni);INS(j),INS(i),INS(r),INS(n),INS(i)
INS(ölur);INS(ö),INS(l),INS(u),INS(r)
INS(öfunni);INS(ö),INS(f),INS(u),INS(n),INS(n),INS(i)
INS(ívum);INS(í),INS(v),INS(u),INS(m)
INS(yki);INS(y),INS(k),INS(i)
INS(j);INS(j)
INS(varinnar);INS(v),INS(a),INS(r),INS(i),INS(n),INS(n),INS(a),INS(r)
INS(önunum);INS(ö),INS(n),INS(u),INS(n),INS(u),INS(m)
INS(umönn);INS(u),INS(m),INS(ö),INS(n),INS(n)
INS(öktu);INS(ö),INS(k),INS(t),INS(u)
INS(ubc);INS(u),INS(b),INS(c)
INS(idd);INS(i),INS(d),INS(d)
INS(nun);INS(n),INS(u),INS(n)
INS(jans);INS(j),INS(a),INS(n),INS(s)
INS(rin);INS(r),INS(i),INS(n)
INS(ripi);INS(r),INS(i),INS(p),INS(i)
INS(utuð);INS(u),INS(t),INS(u),INS(ð)
INS(öðu);INS(ö),INS(ð),INS(u)
INS(fið);INS(f),INS(i),INS(ð)
INS(ömuðuð);INS(ö),INS(m),INS(u),INS(ð),INS(u),INS(ð)
INS(ófu);INS(ó),INS(f),INS(u)
INS(ekið);INS(e),INS(k),INS(i),INS(ð)
INS(jun);INS(j),INS(u),INS(n)
INS(of);INS(o),INS(f)
INS(ötuðum);INS(ö),INS(t),INS(u),INS(ð),INS(u),INS(m)
INS(eginum);INS(e),INS(g),INS(i),INS(n),INS(u),INS(m)
INS(öðunum);INS(ö),INS(ð),INS(u),INS(n),INS(u),INS(m)
INS(önum);INS(ö),INS(n),INS(u),INS(m)
INS(ven);INS(v),INS(e),INS(n)
INS(ý);INS(ý)
INS(ötunni);INS(ö),INS(t),INS(u),INS(n),INS(n),INS(i)
INS(jarn);INS(j),INS(a),INS(r),INS(n)
INS(ut);INS(u),INS(t)
INS(de);INS(d),INS(e)
INS(inite);INS(i),INS(n),INS(i),INS(t),INS(e)
INS(rinnar);INS(r),INS(i),INS(n),INS(n),INS(a),INS(r)
INS(ddi);INS(d),INS(d),INS(i)
INS(jarinnar);INS(j),INS(a),INS(r),INS(i),INS(n),INS(n),INS(a),INS(r)
INS(yg);INS(y),INS(g)
INS(önuðum);INS(ö),INS(n),INS(u),INS(ð),INS(u),INS(m)
INS(indefinite);INS(i),INS(n),INS(d),INS(e),INS(f),INS(i),INS(n),INS(i),INS(t),INS(e)
INS(unnar);INS(u),INS(n),INS(n),INS(a),INS(r)
INS(ölum);INS(ö),INS(l),INS(u),INS(m)
INS(janum);INS(j),INS(a),INS(n),INS(u),INS(m)
INS(rifi);INS(r),INS(i),INS(f),INS(i)
INS(ipuð);INS(i),INS(p),INS(u),INS(ð)
INS(nns);INS(n),INS(n),INS(s)
INS(mdu);INS(m),INS(d),INS(u)
INS(iti);INS(i),INS(t),INS(i)
INS(ygi);INS(y),INS(g),INS(i)
INS(öpum);INS(ö),INS(p),INS(u),INS(m)
INS(rnu);INS(r),INS(n),INS(u)
