Original;Split
INS(hiocf);INS(h),INS(i),INS(o),INS(c),INS(f)
INS(eann sibh);INS(e),INS(a),INS(n),INS(n),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(seoidh );INS(s),INS(e),INS(o),INS(i),INS(d),INS(h),INS( )
INS(thag);INS(t),INS(h),INS(a),INS(g)
INS(eagfaim);INS(e),INS(a),INS(g),INS(f),INS(a),INS(i),INS(m)
INS(óinn);INS(ó),INS(i),INS(n),INS(n)
INS(mar);INS(m),INS(a),INS(r)
INS(eodh s);INS(e),INS(o),INS(d),INS(h),INS( ),INS(s)
INS(fadh);INS(f),INS(a),INS(d),INS(h)
INS(o);INS(o)
INS(ar);INS(a),INS(r)
INS(a tú);INS(a),INS( ),INS(t),INS(ú)
INS(faidh);INS(f),INS(a),INS(i),INS(d),INS(h)
INS(imid);INS(i),INS(m),INS(i),INS(d)
INS(amar);INS(a),INS(m),INS(a),INS(r)
INS(hnín);INS(h),INS(n),INS(í),INS(n)
INS(fidh sé);INS(f),INS(i),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(faidís);INS(f),INS(a),INS(i),INS(d),INS(í),INS(s)
INS(hi);INS(h),INS(i)
INS(eamar);INS(e),INS(a),INS(m),INS(a),INS(r)
INS(iocf);INS(i),INS(o),INS(c),INS(f)
INS(present);INS(p),INS(r),INS(e),INS(s),INS(e),INS(n),INS(t)
INS(fá);INS(f),INS(á)
INS(e sé);INS(e),INS( ),INS(s),INS(é)
INS(nní);INS(n),INS(n),INS(í)
INS(eodh sé);INS(e),INS(o),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(nóin);INS(n),INS(ó),INS(i),INS(n)
INS(nn s);INS(n),INS(n),INS( ),INS(s)
INS(fí);INS(f),INS(í)
INS(aím);INS(a),INS(í),INS(m)
INS(faí);INS(f),INS(a),INS(í)
INS(ann tú);INS(a),INS(n),INS(n),INS( ),INS(t),INS(ú)
INS(ún);INS(ú),INS(n)
INS(mí);INS(m),INS(í)
INS(tha);INS(t),INS(h),INS(a)
INS(hrac);INS(h),INS(r),INS(a),INS(c)
INS(faidh sé);INS(f),INS(a),INS(i),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(hua);INS(h),INS(u),INS(a)
INS(sídí);INS(s),INS(í),INS(d),INS(í)
INS(óidh sibh);INS(ó),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(saimi);INS(s),INS(a),INS(i),INS(m),INS(i)
INS(an);INS(a),INS(n)
INS(f);INS(f)
INS( an gc);INS( ),INS(a),INS(n),INS( ),INS(g),INS(c)
INS(fimis);INS(f),INS(i),INS(m),INS(i),INS(s)
INS(idh sé);INS(i),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(a siad);INS(a),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(íodh);INS(í),INS(o),INS(d),INS(h)
INS(ríoma);INS(r),INS(í),INS(o),INS(m),INS(a)
INS(aíodh sé);INS(a),INS(í),INS(o),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(e siad);INS(e),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(neacha);INS(n),INS(e),INS(a),INS(c),INS(h),INS(a)
INS(feadh sibh);INS(f),INS(e),INS(a),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(fadh sibh);INS(f),INS(a),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(eadh sibh);INS(e),INS(a),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(nn sé);INS(n),INS(n),INS( ),INS(s),INS(é)
INS(aíodh);INS(a),INS(í),INS(o),INS(d),INS(h)
INS(nfin);INS(n),INS(f),INS(i),INS(n)
INS(bhfadh si);INS(b),INS(h),INS(f),INS(a),INS(d),INS(h),INS( ),INS(s),INS(i)
INS(óidh siad);INS(ó),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(a sé);INS(a),INS( ),INS(s),INS(é)
INS(sí );INS(s),INS(í),INS( )
INS(hfid);INS(h),INS(f),INS(i),INS(d)
INS(faidh siad);INS(f),INS(a),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(go b);INS(g),INS(o),INS( ),INS(b)
INS(ra);INS(r),INS(a)
INS(a sibh);INS(a),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(ann sibh);INS(a),INS(n),INS(n),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(éan gé);INS(é),INS(a),INS(n),INS( ),INS(g),INS(é)
INS(hann sib);INS(h),INS(a),INS(n),INS(n),INS( ),INS(s),INS(i),INS(b)
INS(im);INS(i),INS(m)
INS(e mé);INS(e),INS( ),INS(m),INS(é)
INS(íodh sibh);INS(í),INS(o),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(fear);INS(f),INS(e),INS(a),INS(r)
INS(dói);INS(d),INS(ó),INS(i)
INS(faimis);INS(f),INS(a),INS(i),INS(m),INS(i),INS(s)
INS(hfad);INS(h),INS(f),INS(a),INS(d)
