Original;Split
INS( );INS( )
INS( recheranno);INS( ),INS(r),INS(e),INS(c),INS(h),INS(e),INS(r),INS(a),INS(n),INS(n),INS(o)
INS(l);INS(l)
INS(la );INS(l),INS(a),INS( )
INS(cc);INS(c),INS(c)
INS(nga);INS(n),INS(g),INS(a)
INS(cit);INS(c),INS(i),INS(t)
INS(is);INS(i),INS(s)
INS(cio);INS(c),INS(i),INS(o)
INS(iuto);INS(i),INS(u),INS(t),INS(o)
INS(ebbe);INS(e),INS(b),INS(b),INS(e)
INS(herebbe);INS(h),INS(e),INS(r),INS(e),INS(b),INS(b),INS(e)
INS(ce);INS(c),INS(e)
INS(endo);INS(e),INS(n),INS(d),INS(o)
INS(se ne );INS(s),INS(e),INS( ),INS(n),INS(e),INS( )
INS(cevat);INS(c),INS(e),INS(v),INS(a),INS(t)
INS(tt);INS(t),INS(t)
INS(ott);INS(o),INS(t),INS(t)
INS(co);INS(c),INS(o)
INS(uto);INS(u),INS(t),INS(o)
INS(oniam);INS(o),INS(n),INS(i),INS(a),INS(m)
INS(herà);INS(h),INS(e),INS(r),INS(à)
INS(nest);INS(n),INS(e),INS(s),INS(t)
INS(nesse);INS(n),INS(e),INS(s),INS(s),INS(e)
INS(onend);INS(o),INS(n),INS(e),INS(n),INS(d)
INS(ggo);INS(g),INS(g),INS(o)
INS(agg);INS(a),INS(g),INS(g)
INS(r);INS(r)
INS(tto);INS(t),INS(t),INS(o)
INS(tato);INS(t),INS(a),INS(t),INS(o)
INS(rebb);INS(r),INS(e),INS(b),INS(b)
INS(hereste);INS(h),INS(e),INS(r),INS(e),INS(s),INS(t),INS(e)
INS(emo);INS(e),INS(m),INS(o)
INS(cciano);INS(c),INS(c),INS(i),INS(a),INS(n),INS(o)
INS( danno);INS( ),INS(d),INS(a),INS(n),INS(n),INS(o)
INS(ente);INS(e),INS(n),INS(t),INS(e)
INS( foste);INS( ),INS(f),INS(o),INS(s),INS(t),INS(e)
INS(ci);INS(c),INS(i)
INS(cest);INS(c),INS(e),INS(s),INS(t)
INS(ne);INS(n),INS(e)
INS(ett);INS(e),INS(t),INS(t)
INS(re);INS(r),INS(e)
INS(ve ne );INS(v),INS(e),INS( ),INS(n),INS(e),INS( )
INS(gano);INS(g),INS(a),INS(n),INS(o)
INS(cono);INS(c),INS(o),INS(n),INS(o)
INS(cevate);INS(c),INS(e),INS(v),INS(a),INS(t),INS(e)
INS(iamoc);INS(i),INS(a),INS(m),INS(o),INS(c)
INS(so);INS(s),INS(o)
INS(sco);INS(s),INS(c),INS(o)
INS(remo);INS(r),INS(e),INS(m),INS(o)
INS(amoc);INS(a),INS(m),INS(o),INS(c)
INS(up);INS(u),INS(p)
INS(ga);INS(g),INS(a)
INS(cero);INS(c),INS(e),INS(r),INS(o)
INS(te ne );INS(t),INS(e),INS( ),INS(n),INS(e),INS( )
INS(neste);INS(n),INS(e),INS(s),INS(t),INS(e)
INS(ete);INS(e),INS(t),INS(e)
