Original;Split
INS(îay);INS(î),INS(a),INS(y)
INS(îbûy);INS(î),INS(b),INS(û),INS(y)
INS(sî);INS(s),INS(î)
INS(ime);INS(i),INS(m),INS(e)
INS(iba);INS(i),INS(b),INS(a)
INS(iû);INS(i),INS(û)
INS(ibûya);INS(i),INS(b),INS(û),INS(y),INS(a)
INS(ve);INS(v),INS(e)
INS(ev);INS(e),INS(v)
INS(ibam);INS(i),INS(b),INS(a),INS(m)
INS(ibûm);INS(i),INS(b),INS(û),INS(m)
INS(ab);INS(a),INS(b)
INS(abûm);INS(a),INS(b),INS(û),INS(m)
INS(bam);INS(b),INS(a),INS(m)
INS(ibayî);INS(i),INS(b),INS(a),INS(y),INS(î)
INS(eme);INS(e),INS(m),INS(e)
INS(asînyî);INS(a),INS(s),INS(î),INS(n),INS(y),INS(î)
INS(îbay);INS(î),INS(b),INS(a),INS(y)
INS(û);INS(û)
INS(azî);INS(a),INS(z),INS(î)
INS(vî);INS(v),INS(î)
INS(nei);INS(n),INS(e),INS(i)
INS(îe);INS(î),INS(e)
INS(aibûy);INS(a),INS(i),INS(b),INS(û),INS(y)
INS(azim);INS(a),INS(z),INS(i),INS(m)
INS(emîn);INS(e),INS(m),INS(î),INS(n)
INS(aibûm);INS(a),INS(i),INS(b),INS(û),INS(m)
INS(ay);INS(a),INS(y)
INS(îm);INS(î),INS(m)
INS(yan);INS(y),INS(a),INS(n)
INS(am);INS(a),INS(m)
INS(xwî);INS(x),INS(w),INS(î)
INS(ibûma);INS(i),INS(b),INS(û),INS(m),INS(a)
INS(az);INS(a),INS(z)
INS(abûy);INS(a),INS(b),INS(û),INS(y)
INS(yabû);INS(y),INS(a),INS(b),INS(û)
INS(je);INS(j),INS(e)
INS(yaibû);INS(y),INS(a),INS(i),INS(b),INS(û)
INS(b);INS(b)
INS(aib);INS(a),INS(i),INS(b)
INS(em);INS(e),INS(m)
INS(n);INS(n)
INS(abînim);INS(a),INS(b),INS(î),INS(n),INS(i),INS(m)
INS(îibay);INS(î),INS(i),INS(b),INS(a),INS(y)
INS(aam);INS(a),INS(a),INS(m)
INS(idim);INS(i),INS(d),INS(i),INS(m)
INS(îibûy);INS(î),INS(i),INS(b),INS(û),INS(y)
