Original;Split
INS(ssarà);INS(s),INS(s),INS(a),INS(r),INS(à)
INS(èr);INS(è),INS(r)
INS(ras);INS(r),INS(a),INS(s)
INS(ssù);INS(s),INS(s),INS(ù)
INS(ireis);INS(i),INS(r),INS(e),INS(i),INS(s)
INS(fova);INS(f),INS(o),INS(v),INS(a)
INS(ues);INS(u),INS(e),INS(s)
INS(sar);INS(s),INS(a),INS(r)
INS(eb);INS(e),INS(b)
INS(aron);INS(a),INS(r),INS(o),INS(n)
INS(si);INS(s),INS(i)
INS(aras);INS(a),INS(r),INS(a),INS(s)
INS(sassai);INS(s),INS(a),INS(s),INS(s),INS(a),INS(i)
INS(ajesse);INS(a),INS(j),INS(e),INS(s),INS(s),INS(e)
INS(ajeis);INS(a),INS(j),INS(e),INS(i),INS(s)
INS(essar);INS(e),INS(s),INS(s),INS(a),INS(r)
INS(isses);INS(i),INS(s),INS(s),INS(e),INS(s)
INS(r);INS(r)
INS(na);INS(n),INS(a)
INS(foss);INS(f),INS(o),INS(s),INS(s)
INS(ae);INS(a),INS(e)
INS(ivais);INS(i),INS(v),INS(a),INS(i),INS(s)
INS(iva);INS(i),INS(v),INS(a)
INS(nova);INS(n),INS(o),INS(v),INS(a)
INS(ssaras);INS(s),INS(s),INS(a),INS(r),INS(a),INS(s)
INS(irà);INS(i),INS(r),INS(à)
INS(ar);INS(a),INS(r)
INS(nassa);INS(n),INS(a),INS(s),INS(s),INS(a)
INS(vae);INS(v),INS(a),INS(e)
INS(ajovan);INS(a),INS(j),INS(o),INS(v),INS(a),INS(n)
INS(n);INS(n)
INS(ajarà);INS(a),INS(j),INS(a),INS(r),INS(à)
INS(ajesses);INS(a),INS(j),INS(e),INS(s),INS(s),INS(e),INS(s)
INS(ata);INS(a),INS(t),INS(a)
INS(fossa);INS(f),INS(o),INS(s),INS(s),INS(a)
INS(aré);INS(a),INS(r),INS(é)
INS(iras);INS(i),INS(r),INS(a),INS(s)
INS(ives);INS(i),INS(v),INS(e),INS(s)
INS(ej);INS(e),INS(j)
INS(sovai);INS(s),INS(o),INS(v),INS(a),INS(i)
INS(ever);INS(e),INS(v),INS(e),INS(r)
INS(ac);INS(a),INS(c)
INS(anass);INS(a),INS(n),INS(a),INS(s),INS(s)
INS(ò);INS(ò)
INS(isassa);INS(i),INS(s),INS(a),INS(s),INS(s),INS(a)
INS(ian);INS(i),INS(a),INS(n)
INS(d);INS(d)
INS(ejes);INS(e),INS(j),INS(e),INS(s)
INS(ud);INS(u),INS(d)
INS(fossai);INS(f),INS(o),INS(s),INS(s),INS(a),INS(i)
INS(sas);INS(s),INS(a),INS(s)
INS(ajoves);INS(a),INS(j),INS(o),INS(v),INS(e),INS(s)
INS(ajova);INS(a),INS(j),INS(o),INS(v),INS(a)
INS(esse);INS(e),INS(s),INS(s),INS(e)
INS(bù);INS(b),INS(ù)
