Original;Split
INS(ātīv);INS(ā),INS(t),INS(ī),INS(v)
INS(ēfēcērunt);INS(ē),INS(f),INS(ē),INS(c),INS(ē),INS(r),INS(u),INS(n),INS(t)
INS(ūlīginib);INS(ū),INS(l),INS(ī),INS(g),INS(i),INS(n),INS(i),INS(b)
INS(ērētis);INS(ē),INS(r),INS(ē),INS(t),INS(i),INS(s)
INS(issētis);INS(i),INS(s),INS(s),INS(ē),INS(t),INS(i),INS(s)
INS(īdēbit);INS(ī),INS(d),INS(ē),INS(b),INS(i),INS(t)
INS(īsītōrē);INS(ī),INS(s),INS(ī),INS(t),INS(ō),INS(r),INS(ē)
INS(ōrābat);INS(ō),INS(r),INS(ā),INS(b),INS(a),INS(t)
INS(ārāvērunt);INS(ā),INS(r),INS(ā),INS(v),INS(ē),INS(r),INS(u),INS(n),INS(t)
INS(ūderēris);INS(ū),INS(d),INS(e),INS(r),INS(ē),INS(r),INS(i),INS(s)
INS(īverāmus);INS(ī),INS(v),INS(e),INS(r),INS(ā),INS(m),INS(u),INS(s)
INS(ōtāverītis);INS(ō),INS(t),INS(ā),INS(v),INS(e),INS(r),INS(ī),INS(t),INS(i),INS(s)
INS(īverāt);INS(ī),INS(v),INS(e),INS(r),INS(ā),INS(t)
INS(īvērunt);INS(ī),INS(v),INS(ē),INS(r),INS(u),INS(n),INS(t)
INS(ūserās);INS(ū),INS(s),INS(e),INS(r),INS(ā),INS(s)
INS(īnā);INS(ī),INS(n),INS(ā)
INS(ūdē);INS(ū),INS(d),INS(ē)
INS(īgēbāt);INS(ī),INS(g),INS(ē),INS(b),INS(ā),INS(t)
INS(ōdātis);INS(ō),INS(d),INS(ā),INS(t),INS(i),INS(s)
INS(tāverin);INS(t),INS(ā),INS(v),INS(e),INS(r),INS(i),INS(n)
INS(ālē);INS(ā),INS(l),INS(ē)
INS(ōlātīvī);INS(ō),INS(l),INS(ā),INS(t),INS(ī),INS(v),INS(ī)
INS(xissētis);INS(x),INS(i),INS(s),INS(s),INS(ē),INS(t),INS(i),INS(s)
INS(ūmpserint);INS(ū),INS(m),INS(p),INS(s),INS(e),INS(r),INS(i),INS(n),INS(t)
