Original;Split
INS(dzā);INS(d),INS(z),INS(ā)
INS(d);INS(d)
INS(īsim);INS(ī),INS(s),INS(i),INS(m)
INS(ļo);INS(ļ),INS(o)
INS(īm);INS(ī),INS(m)
INS(dzis);INS(d),INS(z),INS(i),INS(s)
INS(oto);INS(o),INS(t),INS(o)
INS(ša);INS(š),INS(a)
INS(as);INS(a),INS(s)
INS(iedz);INS(i),INS(e),INS(d),INS(z)
INS(čiem);INS(č),INS(i),INS(e),INS(m)
INS(gāj);INS(g),INS(ā),INS(j)
INS(ņo);INS(ņ),INS(o)
INS(žo);INS(ž),INS(o)
INS(šļu);INS(š),INS(ļ),INS(u)
INS(āms);INS(ā),INS(m),INS(s)
INS(īs);INS(ī),INS(s)
INS(c);INS(c)
INS(eram);INS(e),INS(r),INS(a),INS(m)
INS(us);INS(u),INS(s)
INS(dzo);INS(d),INS(z),INS(o)
INS(īsi);INS(ī),INS(s),INS(i)
INS(uvu);INS(u),INS(v),INS(u)
INS(už);INS(u),INS(ž)
INS(ž);INS(ž)
INS(ti);INS(t),INS(i)
INS(zod);INS(z),INS(o),INS(d)
INS(ļošs);INS(ļ),INS(o),INS(š),INS(s)
INS(do);INS(d),INS(o)
INS(ņa);INS(ņ),INS(a)
INS(cis);INS(c),INS(i),INS(s)
INS(os);INS(o),INS(s)
INS(ms);INS(m),INS(s)
INS(jams);INS(j),INS(a),INS(m),INS(s)
INS(inā);INS(i),INS(n),INS(ā)
INS(co);INS(c),INS(o)
INS(sto);INS(s),INS(t),INS(o)
INS(cie);INS(c),INS(i),INS(e)
INS(uļ);INS(u),INS(ļ)
INS(ļiem);INS(ļ),INS(i),INS(e),INS(m)
INS(ču);INS(č),INS(u)
INS(od);INS(o),INS(d)
INS(ev);INS(e),INS(v)
INS(lohis);INS(l),INS(o),INS(h),INS(i),INS(s)
INS(ams);INS(a),INS(ms)
INS(eva);INS(e),INS(v),INS(a)
INS(šņu);INS(š),INS(ņ),INS(u)
INS(da);INS(d),INS(a)
INS(ca);INS(c),INS(a)
INS(di);INS(d),INS(i)
INS(žu);INS(ž),INS(u)
INS(dz);INS(d),INS(z)
INS(to);INS(t),INS(o)
INS(ino);INS(i),INS(n),INS(o)
INS(ūris);INS(ū),INS(r),INS(i),INS(s)
INS(no);INS(n),INS(o)
INS(id);INS(i),INS(d)
INS(ļņiem);INS(ļ),INS(ņ),INS(i),INS(e),INS(m)
INS(dam);INS(d),INS(a),INS(m)
INS(inams);INS(i),INS(n),INS(a),INS(m),INS(s)
INS(dza);INS(d),INS(z),INS(a)
INS(uja);INS(u),INS(j),INS(a)
INS(soš);INS(s),INS(o),INS(š)
INS(ļams);INS(ļ),INS(a),INS(m),INS(s)
INS(stie);INS(s),INS(t),INS(i),INS(e)
INS(zdam);INS(z),INS(d),INS(a),INS(m)
INS(īšu);INS(ī),INS(š),INS(u)
INS(cā);INS(c),INS(ā)
INS(āvi);INS(ā),INS(v),INS(i)
INS(tīšo);INS(t),INS(ī),INS(š),INS(o)
INS(cām);INS(c),INS(ā),INS(m)
INS(dā);INS(d),INS(ā)
INS(ļa);INS(ļ),INS(a)
INS(šļiem);INS(š),INS(ļ),INS(i),INS(e),INS(m)
INS(ēru);INS(ē),INS(r),INS(u)
INS(im);INS(i),INS(m)
INS(cu);INS(c),INS(u)
INS(lohi);INS(l),INS(o),INS(h),INS(i)
INS(dām);INS(d),INS(ā),INS(m)
INS(ij);INS(i),INS(j)
INS(so);INS(s),INS(o)
INS( jādej);INS( ),INS(j),INS(ā),INS(d),INS(e),INS(j)
INS(ši);INS(š),INS(i)
INS(šanā);INS(š),INS(a),INS(n),INS(ā)
INS(ēla);INS(ē),INS(l),INS(a)
INS(ū);INS(ū)
INS(dīšu);INS(d),INS(ī),INS(š),INS(u)
INS(ērām);INS(ē),INS(r),INS(ā),INS(m)
INS(kām);INS(k),INS(ā),INS(m)
INS(ēju);INS(ē),INS(j),INS(u)
INS(lai do);INS(l),INS(a),INS(i),INS( ),INS(d),INS(o)
INS(dīšo);INS(d),INS(ī),INS(š),INS(o)
INS(košs);INS(k),INS(o),INS(š),INS(s)
INS(ko);INS(k),INS(o)
INS(šam);INS(š),INS(a),INS(m)
INS(žiem);INS(ž),INS(i),INS(e),INS(m)
INS(die);INS(d),INS(i),INS(e)
INS(ies);INS(i),INS(e),INS(s)
INS(ied);INS(i),INS(e),INS(d)
INS(cam);INS(c),INS(a),INS(m)
INS(av);INS(a),INS(v)
INS(og);INS(o),INS(g)
INS(āj);INS(ā),INS(j)
INS(eta);INS(e),INS(t),INS(a)
INS(gājām);INS(g),INS(ā),INS(j),INS(ā),INS(m)
INS(mā);INS(m),INS(ā)
INS(ērc);INS(ē),INS(r),INS(c)
INS(ci);INS(c),INS(i)
INS(sī);INS(s),INS(ī)
INS(gāja);INS(g),INS(ā),INS(j),INS(a)
INS(ai leco);INS(a),INS(i),INS( ),INS(l),INS(e),INS(c),INS(o)
INS(tā);INS(t),INS(ā)
INS(bū);INS(b),INS(ū)
INS(u ņēmis);INS(u),INS( ),INS(ņ),INS(ē),INS(m),INS(i),INS(s)
INS(āvām);INS(ā),INS(v),INS(ā),INS(m)
INS(ku);INS(k),INS(u)
INS(ož);INS(o),INS(ž)
INS(ļņu);INS(ļ),INS(ņ),INS(u)
INS(ed);INS(e),INS(d)
INS(ad);INS(a),INS(d)
INS(uš);INS(u),INS(š)
INS(ūma);INS(ū),INS(m),INS(a)
INS(šņa);INS(š),INS(ņ),INS(a)
INS(uņ);INS(u),INS(ņ)
INS(ec);INS(e),INS(c)
INS(tie);INS(t),INS(i),INS(e)
INS(ki);INS(k),INS(i)
INS(tī);INS(t),INS(ī)
INS(nošs);INS(n),INS(o),INS(š),INS(s)
INS(sē);INS(s),INS(ē)
INS(uva);INS(u),INS(v),INS(a)
INS(ēj);INS(ē),INS(j)
INS(ļļu);INS(ļ),INS(ļ),INS(u)
INS(k);INS(k)
INS(odie);INS(o),INS(d),INS(i),INS(e)
INS(evām);INS(e),INS(v),INS(ā),INS(m)
INS(uj);INS(u),INS(j)
INS(nu);INS(n),INS(u)
INS(dzām);INS(d),INS(z),INS(ā),INS(m)
INS(ini);INS(i),INS(n),INS(i)
INS(ča);INS(č),INS(a)
INS(āv);INS(ā),INS(v)
INS(vā);INS(v),INS(ā)
INS(ļam);INS(ļ),INS(a),INS(m)
INS(evā);INS(e),INS(v),INS(ā)
INS(šļa);INS(š),INS(ļ),INS(a)
INS(ūdam);INS(ū),INS(d),INS(a),INS(m)
INS(ot);INS(o),INS(t)
INS( l);INS( ),INS(l)
INS(ka);INS(k),INS(a)
INS(č);INS(č)
INS(sie);INS(s),INS(i),INS(e)
INS(ļļ);INS(ļ),INS(ļ)
INS(odo);INS(o),INS(d),INS(o)
INS(uvis);INS(u),INS(v),INS(i),INS(s)
INS(ņi);INS(ņ),INS(i)
INS(n);INS(n)
INS(mē);INS(m),INS(ē)
INS(dzu);INS(d),INS(z),INS(u)
INS(odi);INS(o),INS(d),INS(i)
INS(ža);INS(ž),INS(a)
DEL(g);DEL(g)
DEL(ītie);DEL(ī),DEL(t),DEL(i),DEL(e)
DEL(as);DEL(a),DEL(s)
DEL(cis);DEL(c),DEL(i),DEL(s)
DEL(ns);DEL(n),DEL(s)
DEL(et);DEL(e),DEL(t)
DEL(in);DEL(i),DEL(n)
DEL(slis);DEL(s),DEL(l),DEL(i),DEL(s)
DEL(ērt);DEL(ē),DEL(r),DEL(t)
DEL(ūt);DEL(ū),DEL(t)
DEL(dis);DEL(d),DEL(i),DEL(s)
DEL(zi);DEL(z),DEL(i)
DEL(tis);DEL(t),DEL(is)
DEL(agt);DEL(a),DEL(g),DEL(t)
DEL(lt);DEL(l),DEL(t)
DEL(z);DEL(z)
DEL(ec);DEL(e),DEL(c)
DEL(ast);DEL(a),DEL(s),DEL(t)
DEL(ot);DEL(o),DEL(t)
DEL(pļāpāšana);DEL(p),DEL(ļ),DEL(ā),DEL(p),DEL(ā),DEL(š),DEL(a),DEL(n),DEL(a)
DEL(sne);DEL(s),DEL(n),DEL(e)
DEL(d);DEL(d)
DEL(zis);DEL(z),DEL(is)
DEL(ie);DEL(i),DEL(e)
DEL(tē);DEL(t),DEL(ē)
DEL(en);DEL(e),DEL(n)
DEL(urt);DEL(u),DEL(r),DEL(t)
DEL(lnis);DEL(l),DEL(n),DEL(i),DEL(s)
DEL(sai);DEL(s),DEL(ai)
DEL(ū);DEL(ū)
DEL(lēt);DEL(l),DEL(ē),DEL(t)
DEL(aut);DEL(a),DEL(u),DEL(t)
DEL(ert);DEL(e),DEL(r),DEL(t)
DEL(il);DEL(i),DEL(l)
DEL(di);DEL(d),DEL(i)
DEL(ss);DEL(s),DEL(s)
DEL(cūzis);DEL(c),DEL(ū),DEL(z),DEL(i),DEL(s)
DEL(elt);DEL(e),DEL(l),DEL(t)
DEL(us);DEL(u),DEL(s)
DEL(cīt);DEL(c),DEL(ī),DEL(t)
DEL(ci);DEL(c),DEL(i)
DEL(iet);DEL(i),DEL(e),DEL(t)
DEL(cē);DEL(c),DEL(ē)
DEL(es);DEL(e),DEL(s)
DEL(le);DEL(l),DEL(e)
DEL(te);DEL(t),DEL(e)
DEL(ebūt);DEL(e),DEL(b),DEL(ū),DEL(t)
DEL(ze);DEL(z),DEL(e)
DEL(irkt);DEL(i),DEL(r),DEL(k),DEL(t)
DEL(ēk);DEL(ē),DEL(k)
DEL(ņem);DEL(ņ),DEL(e),DEL(m)
DEL(ce);DEL(c),DEL(e)
DEL(cēt);DEL(c),DEL(ē),DEL(t)
DEL(dēt);DEL(d),DEL(ē),DEL(t)
DEL(tum);DEL(t),DEL(u),DEL(m)
DEL(snis);DEL(s),DEL(n),DEL(i),DEL(s)
DEL(ētie);DEL(ē),DEL(t),DEL(i),DEL(e)
DEL(lles);DEL(l),DEL(l),DEL(e),DEL(s)
DEL(oti);DEL(o),DEL(t),DEL(i)
DEL(les);DEL(l),DEL(e),DEL(s)
DEL(o);DEL(o)
DEL(u);DEL(u)
DEL(c);DEL(c)
DEL(ll);DEL(l),DEL(l)
DEL(lle);DEL(l),DEL(l),DEL(e)
DEL(ut);DEL(u),DEL(t)
