Original;Split
INS(eñs);INS(e),INS(ñ),INS(s)
INS(ẽjuj);INS(ẽ),INS(j),INS(u),INS(j)
INS(ñtuo);INS(ñ),INS(t),INS(u),INS(o)
INS(n);INS(n)
INS(ìgia);INS(ì),INS(g),INS(i),INS(a)
INS(ètų);INS(è),INS(t),INS(ų)
INS(žių);INS(ž),INS(i),INS(ų)
INS(èsni);INS(è),INS(s),INS(n),INS(i)
INS(ote);INS(o),INS(t),INS(e)
INS(ãle);INS(ã),INS(l),INS(e)
INS(uj);INS(u),INS(j)
INS(omìs);INS(o),INS(m),INS(ì),INS(s)
INS(ýlos);INS(ý),INS(l),INS(o),INS(s)
INS(̃davus);INS(̃),INS(d),INS(a),INS(v),INS(u),INS(s)
INS(od);INS(o),INS(d)
INS(eĩ);INS(e),INS(ĩ)
INS(ãvy);INS(ã),INS(v),INS(y)
INS(nt);INS(n),INS(t)
INS(õne);INS(õ),INS(n),INS(e)
INS(iamè);INS(i),INS(a),INS(m),INS(è)
INS(́k);INS(́),INS(k)
INS(ùtų);INS(ù),INS(t),INS(ų)
INS(ìna);INS(ì),INS(n),INS(a)
INS(ẽlį);INS(ẽ),INS(l),INS(į)
INS(ùkčia);INS(ù),INS(k),INS(č),INS(i),INS(a)
INS(ónu);INS(ó),INS(n),INS(u)
INS(aĩ);INS(a),INS(ĩ)
INS(ýno);INS(ý),INS(n),INS(o)
INS(jan);INS(j),INS(a),INS(n)
INS(ąją);INS(ą),INS(j),INS(ą)
INS(ãli);INS(ã),INS(l),INS(i)
INS(eda);INS(e),INS(d),INS(a)
INS(érk);INS(é),INS(r),INS(k)
INS(ĩge);INS(ĩ),INS(g),INS(e)
INS(iojè);INS(i),INS(o),INS(j),INS(è)
INS(ià);INS(i),INS(à)
INS(enyse);INS(e),INS(n),INS(y),INS(s),INS(e)
INS(ñkose);INS(ñ),INS(k),INS(o),INS(s),INS(e)
INS(do);INS(d),INS(o)
INS(oj);INS(o),INS(j)
INS(ýne);INS(ý),INS(n),INS(e)
INS(õs);INS(õ),INS(s)
INS(ók);INS(ó),INS(k)
INS(ãtei);INS(ã),INS(t),INS(e),INS(i)
INS(ókdavus);INS(ó),INS(k),INS(d),INS(a),INS(v),INS(u),INS(s)
INS(ìma);INS(ì),INS(m),INS(a)
INS(ìluo);INS(ì),INS(l),INS(u),INS(o)
INS(ùk);INS(ù),INS(k)
INS(ùšdavome);INS(ù),INS(š),INS(d),INS(a),INS(v),INS(o),INS(m),INS(e)
INS(uje);INS(u),INS(j),INS(e)
INS(sdama);INS(s),INS(d),INS(a),INS(m),INS(a)
INS(ãlų);INS(ã),INS(l),INS(ų)
INS(sdavu);INS(s),INS(d),INS(a),INS(v),INS(u)
INS(ič);INS(i),INS(č)
INS(uvęs);INS(u),INS(v),INS(ę),INS(s)
INS(iám);INS(i),INS(á),INS(m)
INS(ĩč);INS(ĩ),INS(č)
INS(ìtą);INS(ì),INS(t),INS(ą)
INS(ód);INS(ó),INS(d)
INS(ènoms);INS(è),INS(n),INS(o),INS(m),INS(s)
INS(ìmo);INS(ì),INS(m),INS(o)
INS(sè);INS(s),INS(è)
INS(ėjus);INS(ė),INS(j),INS(u),INS(s)
INS(ãną);INS(ã),INS(n),INS(ą)
INS(ìmą);INS(ì),INS(m),INS(ą)
INS(niù);INS(n),INS(i),INS(ù)
INS(nè);INS(n),INS(è)
INS(óks);INS(ó),INS(k),INS(s)
INS(esniaĩ);INS(e),INS(s),INS(n),INS(i),INS(a),INS(ĩ)
INS(esniai);INS(e),INS(s),INS(n),INS(i),INS(a),INS(i)
INS(įs);INS(į),INS(s)
INS(čiausi);INS(č),INS(i),INS(a),INS(u),INS(s),INS(i)
INS(ñtą);INS(ñ),INS(t),INS(ą)
INS(iuo);INS(i),INS(u),INS(o)
INS(ìjų);INS(ì),INS(j),INS(ų)
INS(somi);INS(s),INS(o),INS(m),INS(i)
INS(ìklu);INS(ì),INS(k),INS(l),INS(u)
INS(avėte);INS(a),INS(v),INS(ė),INS(t),INS(e)
INS(mi);INS(m),INS(i)
INS(avęs);INS(a),INS(v),INS(ę),INS(s)
INS(siai);INS(s),INS(i),INS(a),INS(i)
INS(ãgi);INS(ã),INS(g),INS(i)
INS(ùkų);INS(ù),INS(k),INS(ų)
INS(ėd);INS(ė),INS(d)
INS(ãpą);INS(ã),INS(p),INS(ą)
INS(čių);INS(č),INS(i),INS(ų)
INS(avome);INS(a),INS(v),INS(o),INS(m),INS(e)
INS(čiù);INS(č),INS(i),INS(ù)
INS(esniù);INS(e),INS(s),INS(n),INS(i),INS(ù)
INS(ąlu);INS(ą),INS(l),INS(u)
INS(end);INS(e),INS(n),INS(d)
INS(ãte);INS(ã),INS(t),INS(e)
INS(ùmo);INS(ù),INS(m),INS(o)
INS(omas);INS(o),INS(m),INS(a),INS(s)
INS(dame);INS(d),INS(a),INS(m),INS(e)
INS(ąl);INS(ą),INS(l)
INS(ìjos);INS(ì),INS(j),INS(o),INS(s)
INS(ĩčiu);INS(ĩ),INS(č),INS(i),INS(u)
INS(ùkdavo);INS(ù),INS(k),INS(d),INS(a),INS(v),INS(o)
INS(ùkęs);INS(ù),INS(k),INS(ę),INS(s)
INS(íem);INS(í),INS(e),INS(m)
INS(nių̃);INS(n),INS(i),INS(ų),INS(̃)
INS(ynė);INS(y),INS(n),INS(ė)
INS(ñkos);INS(ñ),INS(k),INS(o),INS(s)
INS(čiu);INS(č),INS(i),INS(u)
INS(úodži);INS(ú),INS(o),INS(d),INS(ž),INS(i)
INS(ýnuo);INS(ý),INS(n),INS(u),INS(o)
INS(ètoms);INS(è),INS(t),INS(o),INS(m),INS(s)
INS(ndate);INS(n),INS(d),INS(a),INS(t),INS(e)
INS(ĩta);INS(ĩ),INS(t),INS(a)
INS(niám);INS(n),INS(i),INS(á),INS(m)
INS(ãtomis);INS(ã),INS(t),INS(o),INS(m),INS(i),INS(s)
INS(ẽsio);INS(ẽ),INS(s),INS(i),INS(o)
INS(ìną);INS(ì),INS(n),INS(ą)
INS(ùšė);INS(ù),INS(š),INS(ė)
INS(enčiama);INS(e),INS(n),INS(č),INS(i),INS(a),INS(m),INS(a)
INS(óvu);INS(ó),INS(v),INS(u)
INS(š);INS(š)
INS(is);INS(i),INS(s)
INS(ỹko);INS(ỹ),INS(k),INS(o)
INS(ñtų);INS(ñ),INS(t),INS(ų)
INS(žiaĩ);INS(ž),INS(i),INS(a),INS(ĩ)
INS(óbame);INS(ó),INS(b),INS(a),INS(m),INS(e)
INS(nd);INS(n),INS(d)
INS(́davau);INS(́),INS(d),INS(a),INS(v),INS(a),INS(u)
INS(uva);INS(u),INS(v),INS(a)
