Original;Split
INS(līt );INS(l),INS(ī),INS(t),INS( )
INS(ūb);INS(ū),INS(b)
INS(žis);INS(ž),INS(i),INS(s)
INS(ūor);INS(ū),INS(o),INS(r)
INS(õksm);INS(õ),INS(k),INS(s),INS(m)
INS(sti);INS(s),INS(t),INS(i)
INS(lītõ );INS(l),INS(ī),INS(t),INS(õ),INS( )
INS(ȯ);INS(ȯ)
INS(apst);INS(a),INS(p),INS(s),INS(t)
INS(äuvši);INS(ä),INS(u),INS(v),INS(š),INS(i)
INS(īdõks);INS(ī),INS(d),INS(õ),INS(k),INS(s)
INS(didi);INS(d),INS(i),INS(d),INS(i)
INS(zõks);INS(z),INS(õ),INS(k),INS(s)
INS(äuvḑi);INS(ä),INS(u),INS(v),INS(ḑ),INS(i)
INS(äuvži);INS(ä),INS(u),INS(v),INS(ž),INS(i)
INS(ngõd);INS(n),INS(g),INS(õ),INS(d)
INS(ēži);INS(ē),INS(ž),INS(i)
INS(um tulmõs);INS(u),INS(m),INS( ),INS(t),INS(u),INS(l),INS(m),INS(õ),INS(s)
INS(kõ);INS(k),INS(õ)
INS(ldõn);INS(l),INS(d),INS(õ),INS(n)
INS(ät līt );INS(ä),INS(t),INS( ),INS(l),INS(ī),INS(t),INS( )
INS(äd tulks);INS(ä),INS(d),INS( ),INS(t),INS(u),INS(l),INS(k),INS(s)
INS(rdõn);INS(r),INS(d),INS(õ),INS(n)
INS(ȯļļi);INS(ȯ),INS(ļ),INS(ļ),INS(i)
INS(ņ);INS(ņ)
INS(ät lītõ );INS(ä),INS(t),INS( ),INS(l),INS(ī),INS(t),INS(õ),INS( )
INS(ekšm);INS(e),INS(k),INS(š),INS(m)
INS(dõs);INS(d),INS(õ),INS(s)
INS(īzt);INS(ī),INS(z),INS(t)
INS(r);INS(r)
INS(ztõks);INS(z),INS(t),INS(õ),INS(k),INS(s)
INS(ūošõdõn);INS(ū),INS(o),INS(š),INS(õ),INS(d),INS(õ),INS(n)
INS(ulmõ);INS(u),INS(l),INS(m),INS(õ)
INS(apstkõks);INS(a),INS(p),INS(s),INS(t),INS(k),INS(õ),INS(k),INS(s)
INS(ȯlksmõ);INS(ȯ),INS(l),INS(k),INS(s),INS(m),INS(õ)
